strain	accession	clade	description	original_date	date	date_precision
KX532180.1	KX532180.1	G2a	Porcine epidemic diarrhea virus strain CH_SXCH11_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	2015	2015-07-01	year
KX532181.1	KX532181.1	G2a	Porcine epidemic diarrhea virus strain CH_SXHF18_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	2015	2015-07-01	year
KX532182.1	KX532182.1	G2a	Porcine epidemic diarrhea virus strain CH_SXJZY15_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	2015	2015-07-01	year
KX532183.1	KX532183.1	G2a	Porcine epidemic diarrhea virus strain CH_SXTLF10_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	2015	2015-07-01	year
KX580953.1	KX580953.1	G2a	Porcine epidemic diarrhea virus strain KB2013-4, complete genome	2013	2013-07-01	year
KX981440.1	KX981440.1	G2a	Porcine epidemic diarrhea virus isolate CH/HNZZ47/2016, complete genome	May-2016	2016-05-15	month
KY070587.1	KY070587.1	G2a	Porcine epidemic diarrhea virus isolate JSCZ1601, complete genome	2016	2016-07-01	year
KY075782.1	KY075782.1	G2a	Porcine epidemic diarrhea virus strain LNfx1/2014 S protein (S) gene, complete cds	Nov-2014	2014-11-15	month
KY075783.1	KY075783.1	G2a	Porcine epidemic diarrhea virus strain LNsy1/2014 S protein (S) gene, complete cds	Nov-2014	2014-11-15	month
KY075784.1	KY075784.1	G2a	Porcine epidemic diarrhea virus strain LNsy1/2015 S protein (S) gene, complete cds	Jan-2015	2015-01-15	month
KY075786.1	KY075786.1	G2a	Porcine epidemic diarrhea virus strain LNfx1/2015 S protein (S) gene, complete cds	Apr-2015	2015-04-15	month
KY075787.1	KY075787.1	G2a	Porcine epidemic diarrhea virus strain LNtL1/2015 S protein (S) gene, complete cds	Jul-2015	2015-07-15	month
KY075788.1	KY075788.1	G2a	Porcine epidemic diarrhea virus strain LNyk1/2015 S protein (S) gene, complete cds	Aug-2015	2015-08-15	month
KY075789.1	KY075789.1	G2a	Porcine epidemic diarrhea virus strain LNdL1/2015 S protein (S) gene, complete cds	Nov-2015	2015-11-15	month
KY075790.1	KY075790.1	G2a	Porcine epidemic diarrhea virus strain LNdd1/2015 S protein (S) gene, complete cds	Nov-2015	2015-11-15	month
KY607767.1	KY607767.1	G2a	Porcine epidemic diarrhea virus isolate JS201603 spike protein gene, complete cds	Mar-2016	2016-03-15	month
KY775037.1	KY775037.1	G2a	Porcine epidemic diarrhea virus isolate HBJM3 spike protein (S) gene, complete cds	Oct-2016	2016-10-15	month
KY775039.1	KY775039.1	G2a	Porcine epidemic diarrhea virus isolate HBJZ2 spike protein (S) gene, complete cds	Mar-2016	2016-03-15	month
KY775043.1	KY775043.1	G2a	Porcine epidemic diarrhea virus isolate HBXY4 spike protein (S) gene, complete cds	Mar-2016	2016-03-15	month
KY775044.1	KY775044.1	G2a	Porcine epidemic diarrhea virus isolate HBXY5 spike protein (S) gene, complete cds	Jun-2016	2016-06-15	month
KY775049.1	KY775049.1	G2a	Porcine epidemic diarrhea virus isolate HBHG6 spike protein (S) gene, complete cds	Aug-2016	2016-08-15	month
KY775051.1	KY775051.1	G2a	Porcine epidemic diarrhea virus isolate HBEZ1 spike protein (S) gene, complete cds	Jan-2016	2016-01-15	month
MF038015.1	MF038015.1	G2a	Porcine epidemic diarrhea virus isolate PED-JS-2016-01 spike glycoprotein (S) gene, complete cds	Jan-2016	2016-01-15	month
MF038016.1	MF038016.1	G2a	Porcine epidemic diarrhea virus isolate PED-JS-2015-12-1 spike glycoprotein (S) gene, complete cds	Dec-2015	2015-12-15	month
MF152598.1	MF152598.1	G2a	Porcine epidemic diarrhea virus strain CH/GSTS/2016 spike protein gene, complete cds	2016	2016-07-01	year
MF152600.1	MF152600.1	G2a	Porcine epidemic diarrhea virus strain CH/HNCD/2016 spike protein gene, complete cds	2017	2017-07-01	year
MF152601.1	MF152601.1	G2a	Porcine epidemic diarrhea virus strain CH/HNHB/2016 spike protein gene, complete cds	2017	2017-07-01	year
MF152605.1	MF152605.1	G2a	Porcine epidemic diarrhea virus strain CH/SXXY/2017 spike protein gene, complete cds	2017	2017-07-01	year
MF782686.1	MF782686.1	G2a	Porcine epidemic diarrhea virus strain NW17, complete genome	2015	2015-07-01	year
MF782687.1	MF782687.1	G2a	Porcine epidemic diarrhea virus strain NW8, complete genome	2015	2015-07-01	year
MG132631.1	MG132631.1	G2a	Porcine epidemic diarrhea virus isolate HB1601 spike protein mRNA, complete cds	May-2017	2017-05-15	month
MG132632.1	MG132632.1	G2a	Porcine epidemic diarrhea virus isolate HB1603 spike protein mRNA, complete cds	May-2017	2017-05-15	month
MG132633.1	MG132633.1	G2a	Porcine epidemic diarrhea virus isolate HB1604 spike protein mRNA, complete cds	May-2017	2017-05-15	month
MG132634.1	MG132634.1	G2a	Porcine epidemic diarrhea virus isolate HB1605 spike protein mRNA, complete cds	May-2017	2017-05-15	month
MG132635.1	MG132635.1	G2a	Porcine epidemic diarrhea virus isolate HB16019 spike protein mRNA, complete cds	May-2017	2017-05-15	month
MG132636.1	MG132636.1	G2a	Porcine epidemic diarrhea virus isolate HB16022 spike protein mRNA, complete cds	May-2017	2017-05-15	month
MG198639.1	MG198639.1	G2a	Porcine epidemic diarrhea virus isolate JSHA1601 spike protein gene, complete cds	Jan-2016	2016-01-15	month
MG198642.1	MG198642.1	G2a	Porcine epidemic diarrhea virus isolate JSCZ1601 spike protein gene, complete cds	Jan-2016	2016-01-15	month
MG198643.1	MG198643.1	G2a	Porcine epidemic diarrhea virus isolate JS-D-1503 spike protein gene, complete cds	Mar-2015	2015-03-15	month
MG198647.1	MG198647.1	G2a	Porcine epidemic diarrhea virus isolate JSJR1512 spike protein gene, complete cds	Dec-2015	2015-12-15	month
MG198648.1	MG198648.1	G2a	Porcine epidemic diarrhea virus isolate JSLYG1603 spike protein gene, complete cds	Mar-2016	2016-03-15	month
MG198649.1	MG198649.1	G2a	Porcine epidemic diarrhea virus isolate JSLYG1603-2 spike protein gene, complete cds	Mar-2016	2016-03-15	month
MG198660.1	MG198660.1	G2a	Porcine epidemic diarrhea virus isolate JSSQ1602 spike protein gene, complete cds	Feb-2016	2016-02-15	month
MG198668.1	MG198668.1	G2a	Porcine epidemic diarrhea virus isolate SCHC1508 spike protein gene, complete cds	Aug-2015	2015-08-15	month
MG198669.1	MG198669.1	G2a	Porcine epidemic diarrhea virus isolate SCLC1405 spike protein gene, complete cds	May-2014	2014-05-15	month
MG198671.1	MG198671.1	G2a	Porcine epidemic diarrhea virus isolate ZJWL1603 spike protein gene, complete cds	Mar-2016	2016-03-15	month
MG546687.1	MG546687.1	G2a	Porcine epidemic diarrhea virus strain CH/BJ9/2015, complete genome	Sep-2015	2015-09-15	month
MG546689.1	MG546689.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain CH/HB9/2016 genomic sequence	Sep-2016	2016-09-15	month
MH056658.1	MH056658.1	G2a	Porcine epidemic diarrhea virus strain JSX2014, complete genome	2014	2014-07-01	year
MH117940.1	MH117940.1	G2a	Porcine epidemic diarrhea virus isolate SDSX16, complete genome	Mar-2016	2016-03-15	month
MK093253.1	MK093253.1	G2a	Porcine epidemic diarrhea virus isolate CH/HNXC spike protein gene, complete cds	May-2015	2015-05-15	month
MK111632.1	MK111632.1	G2a	Porcine epidemic diarrhea virus isolate CH/HNHB/2016 spike protein mRNA, complete cds	May-2016	2016-05-15	month
MK124712.1	MK124712.1	G2a	Porcine epidemic diarrhea virus strain CH/HNXX/2016 spike protein gene, complete cds	May-2016	2016-05-15	month
MK539948.2	MK539948.2	G2a	Porcine epidemic diarrhea virus isolate CT spike glycoprotein (S) gene, complete cds	2016	2016-07-01	year
MK796238.1	MK796238.1	G2a	Porcine epidemic diarrhea virus strain CN/Liaoning25/2018, complete genome	Mar-2018	2018-03-15	month
MK841494.1	MK841494.1	G2a	Porcine epidemic diarrhea virus isolate PEDV SH, complete genome	Oct-2016	2016-10-15	month
MK841495.1	MK841495.1	G2a	Porcine epidemic diarrhea virus isolate PEDV YZ, complete genome	Sep-2016	2016-09-15	month
MN037494.1	MN037494.1	G2a	Porcine epidemic diarrhea virus strain WHLL, complete genome	2017-04-18	2017-04-18	day
MN114121.1	MN114121.1	G2a	Porcine epidemic diarrhea virus isolate CT P10, complete genome	Mar-2018	2018-03-15	month
MN412558.1	MN412558.1	G2a	Porcine epidemic diarrhea virus strain HN-HB1/2018 S protein (S) gene, complete cds	2018	2018-07-01	year
MN412559.1	MN412559.1	G2a	Porcine epidemic diarrhea virus strain HN-HB2/2018 S protein (S) gene, complete cds	2018	2018-07-01	year
MN412560.1	MN412560.1	G2a	Porcine epidemic diarrhea virus strain HN-XC1/2018 S protein (S) gene, complete cds	2018	2018-07-01	year
MN412561.1	MN412561.1	G2a	Porcine epidemic diarrhea virus strain HN-XC2/2018 S protein (S) gene, complete cds	2018	2018-07-01	year
MN412562.1	MN412562.1	G2a	Porcine epidemic diarrhea virus strain HN-XX1/2016 S protein (S) gene, complete cds	2016	2016-07-01	year
MN412563.1	MN412563.1	G2a	Porcine epidemic diarrhea virus strain HN-XX2/2016 S protein (S) gene, complete cds	2016	2016-07-01	year
MN412564.1	MN412564.1	G2a	Porcine epidemic diarrhea virus strain HN-XX3/2016 S protein (S) gene, complete cds	2016	2016-07-01	year
MN412565.1	MN412565.1	G2a	Porcine epidemic diarrhea virus strain HN-YY1/2018 S protein (S) gene, complete cds	2018	2018-07-01	year
MN412566.1	MN412566.1	G2a	Porcine epidemic diarrhea virus strain HN-YY2/2018 S protein (S) gene, complete cds	2018	2018-07-01	year
MN412568.1	MN412568.1	G2a	Porcine epidemic diarrhea virus strain HN-PY/2016 S protein (S) gene, complete cds	2016	2016-07-01	year
MN412569.1	MN412569.1	G2a	Porcine epidemic diarrhea virus strain HN-XX/2016 S protein (S) gene, complete cds	2016	2016-07-01	year
MN412573.1	MN412573.1	G2a	Porcine epidemic diarrhea virus strain SX-WS1/2018 S protein (S) gene, complete cds	2018	2018-07-01	year
MT090138.1	MT090138.1	G2a	Porcine epidemic diarrhea virus strain HN/KF/2019 spike protein (S) gene, complete cds	2019	2019-07-01	year
MT090139.1	MT090139.1	G2a	Porcine epidemic diarrhea virus strain HN/XC/2019 spike protein (S) gene, complete cds	2019	2019-07-01	year
MT090145.1	MT090145.1	G2a	Porcine epidemic diarrhea virus strain CH/HNYY/2018, complete genome	2018	2018-07-01	year
MT294130.1	MT294130.1	G2a	Porcine epidemic diarrhea virus isolate JLSD-2018 spike glycoprotein (S) gene, complete cds	2018	2018-07-01	year
MT338517.1	MT338517.1	G2a	Porcine epidemic diarrhea virus strain CH/HNXX/2016, complete genome	2016	2016-07-01	year
MT547179.1	MT547179.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d, complete genome	Jan-2017	2017-01-15	month
MT547180.1	MT547180.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c, complete genome	Jan-2017	2017-01-15	month
MT646162.1	MT646162.1	G2a	Porcine epidemic diarrhea virus isolate YJH/2015, complete genome	Oct-2015	2015-10-15	month
MT659926.1	MT659926.1	G2a	Porcine epidemic diarrhea virus, complete genome	Feb-2019	2019-02-15	month
MT683617.1	MT683617.1	G2a	Porcine epidemic diarrhea virus strain MSCH, complete genome	Sep-2016	2016-09-15	month
MT843280.1	MT843280.1	G2a	Porcine epidemic diarrhea virus, complete genome	Dec-2019	2019-12-15	month
MW143081.1	MW143081.1	G2a	Porcine epidemic diarrhea virus isolate JSS02, complete genome	Aug-2016	2016-08-15	month
MW143082.1	MW143082.1	G2a	Porcine epidemic diarrhea virus isolate JSS03, complete genome	Jan-2017	2017-01-15	month
MW143086.1	MW143086.1	G2a	Porcine epidemic diarrhea virus isolate JSS07, complete genome	Mar-2017	2017-03-15	month
MW143087.1	MW143087.1	G2a	Porcine epidemic diarrhea virus isolate JSS08, complete genome	Mar-2017	2017-03-15	month
MW143088.1	MW143088.1	G2a	Porcine epidemic diarrhea virus isolate JSS09, complete genome	Jan-2018	2018-01-15	month
MW143089.1	MW143089.1	G2a	Porcine epidemic diarrhea virus isolate JSS10, complete genome	Feb-2018	2018-02-15	month
MW143090.1	MW143090.1	G2a	Porcine epidemic diarrhea virus isolate JSS11, complete genome	Apr-2018	2018-04-15	month
MW143093.1	MW143093.1	G2a	Porcine epidemic diarrhea virus isolate JSS15, complete genome	Jun-2019	2019-06-15	month
MW478768.1	MW478768.1	G2a	Porcine epidemic diarrhea virus isolate GDsg09 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478770.1	MW478770.1	G2a	Porcine epidemic diarrhea virus isolate GDsg11 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478771.1	MW478771.1	G2a	Porcine epidemic diarrhea virus isolate GDsg12 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478772.1	MW478772.1	G2a	Porcine epidemic diarrhea virus isolate GDsg13 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW561264.1	MW561264.1	G2a	Porcine epidemic diarrhea virus strain CH/HLJ/18, complete genome	2018	2018-07-01	year
MW826595.1	MW826595.1	G2a	Porcine epidemic diarrhea virus isolate LP/2017 spike protein (S) gene, complete cds	2017	2017-07-01	year
MW826597.1	MW826597.1	G2a	Porcine epidemic diarrhea virus isolate WF/2017 spike protein (S) gene, complete cds	2017	2017-07-01	year
MZ161047.1	MZ161047.1	G2a	Porcine epidemic diarrhea virus strain CH/HNZZ/06/2020 spike protein (S) gene, complete cds	Jun-2020	2020-06-15	month
MZ161060.1	MZ161060.1	G2a	Porcine epidemic diarrhea virus strain CH/GXLP/07/2020 spike protein (S) gene, complete cds	Jul-2020	2020-07-15	month
MZ380292.1	MZ380292.1	G2a	Porcine epidemic diarrhea virus isolate CHHN2016, complete genome	Jul-2016	2016-07-15	month
MZ712170.1	MZ712170.1	G2a	Porcine epidemic diarrhea virus strain PEDV-KB2013-130, complete genome	2013	2013-07-01	year
OL907256.1	OL907256.1	G2a	Porcine epidemic diarrhea virus strain CH/SXJC-2019 spike protein (S) gene, complete cds	2020	2020-07-01	year
OL907259.1	OL907259.1	G2a	Porcine epidemic diarrhea virus strain CH-GSWW-2019 spike protein (S) gene, complete cds	2020	2020-07-01	year
OM776958.1	OM776958.1	G2a	Porcine epidemic diarrhea virus isolate CH/HLJ-6/2021, complete genome	Oct-2019	2019-10-15	month
OM948910.1	OM948910.1	G2a	Porcine epidemic diarrhea virus isolate CH_SCDZ02_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948925.1	OM948925.1	G2a	Porcine epidemic diarrhea virus isolate CH_SCDZ01_2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
ON058990.1	ON058990.1	G2a	Porcine epidemic diarrhea virus strain SCLSSWUN02 spike protein (S), complete cds	Jan-2021	2021-01-15	month
ON075821.1	ON075821.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate SXYC, complete genome	2017	2017-07-01	year
ON417003.1	ON417003.1	G2a	Porcine epidemic diarrhea virus isolate JS2019-4 spike protein gene, complete cds	Jan-2019	2019-01-15	month
OP191700.1	OP191700.1	G2a	Porcine epidemic diarrhea virus strain PEDV GD/HZ/2016, complete genome	2016	2016-07-01	year
OP529824.1	OP529824.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate GS2019-109, complete genome	2019	2019-07-01	year
OP727263.1	OP727263.1	G2a	UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus strain LNct2a spike protein (S) gene, complete cds	2015	2015-07-01	year
OP784565.1	OP784565.1	G2a	Porcine epidemic diarrhea virus isolate PEDV HNCADA-2017, complete genome	2017	2017-07-01	year
OQ349201.1	OQ349201.1	G2a	Porcine epidemic diarrhea virus isolate SHdt3(2021), complete genome	2021	2021-07-01	year
OQ349204.1	OQ349204.1	G2a	Porcine epidemic diarrhea virus isolate FJ1312 spike protein (S) gene, complete cds	2020	2020-07-01	year
OQ349205.1	OQ349205.1	G2a	Porcine epidemic diarrhea virus isolate FJ1401 spike protein (S) gene, complete cds	2020	2020-07-01	year
OQ349206.1	OQ349206.1	G2a	Porcine epidemic diarrhea virus isolate FJ1402 spike protein (S) gene, complete cds	2020	2020-07-01	year
OQ349207.1	OQ349207.1	G2a	Porcine epidemic diarrhea virus isolate FJ1410 spike protein (S) gene, complete cds	2020	2020-07-01	year
OQ349208.1	OQ349208.1	G2a	Porcine epidemic diarrhea virus isolate FJ1516 spike protein (S) gene, complete cds	2020	2020-07-01	year
OQ349210.1	OQ349210.1	G2a	Porcine epidemic diarrhea virus isolate FJ1609 spike protein (S) gene, complete cds	2020	2020-07-01	year
OQ349211.1	OQ349211.1	G2a	Porcine epidemic diarrhea virus isolate FJ1617 spike protein (S) gene, complete cds	2020	2020-07-01	year
OQ349213.1	OQ349213.1	G2a	Porcine epidemic diarrhea virus isolate FJ1919 spike protein (S) gene, complete cds	2020	2020-07-01	year
OQ349215.1	OQ349215.1	G2a	Porcine epidemic diarrhea virus isolate FJ2006 spike protein (S) gene, complete cds	2020	2020-07-01	year
OQ349217.1	OQ349217.1	G2a	Porcine epidemic diarrhea virus isolate FJ170524 spike protein (S) gene, complete cds	2020	2020-07-01	year
OQ349224.1	OQ349224.1	G2a	Porcine epidemic diarrhea virus isolate SHdt3 spike protein (S) gene, complete cds	2021	2021-07-01	year
OQ858592.1	OQ858592.1	G2a	Porcine epidemic diarrhea virus strain SD-LC, complete genome	2020	2020-07-01	year
OQ979201.1	OQ979201.1	G2a	Porcine epidemic diarrhea virus strain HNZK5, complete genome	2021	2021-07-01	year
OR085244.1	OR085244.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-HuN1-2023, complete genome	2023-02-20	2023-02-20	day
OR085281.1	OR085281.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-AHWH8-2022, complete genome	2022-07-12	2022-07-12	day
OR085282.1	OR085282.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-AHWH12-2022, complete genome	2022-07-12	2022-07-12	day
OR085283.1	OR085283.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-AHWH16-2022, complete genome	2022-07-12	2022-07-12	day
OR085284.1	OR085284.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-AHWH1-2022, complete genome	2022-07-12	2022-07-12	day
OR085285.1	OR085285.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-SXGL2-2022, complete genome	2022-12-16	2022-12-16	day
OR090885.1	OR090885.1	G2a	Porcine epidemic diarrhea virus isolate PEDV/CH/XK/2020, complete genome	Oct-2020	2020-10-15	month
OR090886.1	OR090886.1	G2a	Porcine epidemic diarrhea virus isolate PEDV/CH/XY/2020, complete genome	Oct-2020	2020-10-15	month
OR090887.1	OR090887.1	G2a	Porcine epidemic diarrhea virus isolate PEDV/CH/XU/2020, complete genome	Dec-2020	2020-12-15	month
OR090888.1	OR090888.1	G2a	Porcine epidemic diarrhea virus isolate PEDV/CH/XA/2020, complete genome	Dec-2020	2020-12-15	month
OR195029.1	OR195029.1	G2a	Porcine epidemic diarrhea virus strain HB2022-4 spike protein (S) gene, complete cds	2022	2022-07-01	year
OR365272.1	OR365272.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P30 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds	2019	2019-07-01	year
OR365273.1	OR365273.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P60 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds	2020	2020-07-01	year
OR365274.1	OR365274.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P90 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds	2020	2020-07-01	year
OR365275.1	OR365275.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P120 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds	2020	2020-07-01	year
OR365276.1	OR365276.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P30 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds	2020	2020-07-01	year
OR365277.1	OR365277.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P60 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds	2020	2020-07-01	year
OR365278.1	OR365278.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P90 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds	2020	2020-07-01	year
OR365279.1	OR365279.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P120 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds	2020	2020-07-01	year
OR576822.1	OR576822.1	G2a	Porcine epidemic diarrhea virus isolate CH/JS321/2022 spike protein (S) gene, complete cds	Jun-2022	2022-06-15	month
OR596889.1	OR596889.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate YJH141-2015 genomic sequence	2015	2015-07-01	year
OR707084.1	OR707084.1	G2a	UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate HN2021, complete genome	2021	2021-07-01	year
OR722805.1	OR722805.1	G2a	Porcine epidemic diarrhea virus isolate CHN-HCHL-2021, complete genome	2021	2021-07-01	year
OR992086.1	OR992086.1	G2a	Porcine epidemic diarrhea virus isolate CH/FST-Y/2017 spike protein (S) gene, complete cds	Nov-2017	2017-11-15	month
OR992087.1	OR992087.1	G2a	Porcine epidemic diarrhea virus isolate CH/FST-S/2017 spike protein (S) gene, complete cds	Oct-2017	2017-10-15	month
PP580806.1	PP580806.1	G2a	Porcine epidemic diarrhea virus isolate SD-RZ2023 spike protein (S) gene, complete cds	2023	2023-07-01	year
PP723329.1	PP723329.1	G2a	Porcine epidemic diarrhea virus isolate CH/Shanxi-G/2022 spike protein (S) gene, complete cds	Nov-2022	2022-11-15	month
PP906229.1	PP906229.1	G2a	Porcine epidemic diarrhea virus strain HB-HG spike protein gene, complete cds	2023	2023-07-01	year
PP923928.1	PP923928.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-KM-1404/China/2014/Yunnan spike protein-like gene, partial sequence	Apr-2014	2014-04-15	month
PP923931.1	PP923931.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-KM-1503/China/2015/Yunnan spike protein-like gene, partial sequence	Mar-2015	2015-03-15	month
PP923932.1	PP923932.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-QJ-1507/China/2015/Yunnan spike protein-like gene, partial sequence	Jul-2015	2015-07-15	month
PP998009.1	PP998009.1	G2a	Porcine epidemic diarrhea virus isolate GX4/2023, complete genome	Jan-2023	2023-01-15	month
PQ284568.1	PQ284568.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNLY-2022 spike protein (S) gene, complete cds	2022	2022-07-01	year
PQ284569.1	PQ284569.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNNY-2022 spike protein (S) gene, complete cds	2022	2022-07-01	year
PQ284570.1	PQ284570.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNXC-2022 spike protein (S) gene, complete cds	2022	2022-07-01	year
PV036770.1	PV036770.1	G2a	Porcine epidemic diarrhea virus isolate HLJ1, complete genome	2023	2023-07-01	year
PV036771.1	PV036771.1	G2a	Porcine epidemic diarrhea virus isolate HLJ2, complete genome	2023	2023-07-01	year
PV449162.1	PV449162.1	G2a	Porcine epidemic diarrhea virus isolate CH/HLJ-22, complete genome	2022	2022-07-01	year
PV523943.1	PV523943.1	G2a	Porcine epidemic diarrhea virus isolate AH02-10-CN_2021 spike protein (S) gene, complete cds	Oct-2024	2024-10-15	month
PV523944.1	PV523944.1	G2a	Porcine epidemic diarrhea virus isolate AH03-05-CN_2022 spike protein (S) gene, complete cds	May-2024	2024-05-15	month
PV523945.1	PV523945.1	G2a	Porcine epidemic diarrhea virus isolate AH04-12-CN_2021 spike protein (S) gene, complete cds	Dec-2024	2024-12-15	month
PV523946.1	PV523946.1	G2a	Porcine epidemic diarrhea virus isolate GX01-02-CN_2022 spike protein (S) gene, complete cds	Feb-2024	2024-02-15	month
PV523947.1	PV523947.1	G2a	Porcine epidemic diarrhea virus isolate GX02-04-CN_2022 spike protein (S) gene, complete cds	Apr-2024	2024-04-15	month
PV523948.1	PV523948.1	G2a	Porcine epidemic diarrhea virus isolate GX05-11-CN_2022 spike protein (S) gene, complete cds	Nov-2024	2024-11-15	month
PV523949.1	PV523949.1	G2a	Porcine epidemic diarrhea virus isolate HeB01-05-CN_2022 spike protein (S) gene, complete cds	May-2024	2024-05-15	month
PV523950.1	PV523950.1	G2a	Porcine epidemic diarrhea virus isolate HLJ01-05-CN-2024 spike protein (S) gene, complete cds	May-2024	2024-05-15	month
PV523951.1	PV523951.1	G2a	Porcine epidemic diarrhea virus isolate HLJ01-12-CN_2021 spike protein (S) gene, complete cds	Dec-2024	2024-12-15	month
PV523952.1	PV523952.1	G2a	Porcine epidemic diarrhea virus isolate HuB03-07-CN_2021 spike protein (S) gene, complete cds	Jul-2024	2024-07-15	month
PV523953.1	PV523953.1	G2a	Porcine epidemic diarrhea virus isolate SD03-11-CN_2021 spike protein (S) gene, complete cds	Nov-2024	2024-11-15	month
PV523954.1	PV523954.1	G2a	Porcine epidemic diarrhea virus isolate SD04-12-CN_2021 spike protein (S) gene, complete cds	Dec-2024	2024-12-15	month
PV523955.1	PV523955.1	G2a	Porcine epidemic diarrhea virus isolate ZJ01-01-CN_2022 spike protein (S) gene, complete cds	Jan-2024	2024-01-15	month
PV523956.1	PV523956.1	G2a	Porcine epidemic diarrhea virus isolate ZJ04-03-CN_2022 spike protein (S) gene, complete cds	Mar-2024	2024-03-15	month
PV609798.1	PV609798.1	G2a	Porcine epidemic diarrhea virus isolate PEDV GY2401 spike protein (S) gene, complete cds	2024	2024-07-01	year
PV890949.1	PV890949.1	G2a	Porcine epidemic diarrhea virus isolate YN-KM 202505 spike protein gene, complete cds	2025-05	2025-05-15	month
PX475711.1	PX475711.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-HeiHo-2024, complete genome	2024	2024-07-01	year
PX652412.1	PX652412.1	G2a	Porcine epidemic diarrhea virus strain WH2 spike protein (S) gene, complete cds	Dec-2024	2024-12-15	month
AB857234.1	AB857234.1	G2b	Porcine epidemic diarrhea virus S gene for spike protein, complete cds, strain: GDS02	2013	2013-07-01	year
JQ239429.1	JQ239429.1	G2b	Porcine epidemic diarrhea virus strain CH1 spike protein (S) gene, complete cds	2011	2011-07-01	year
JQ638915.1	JQ638915.1	G2b	Porcine epidemic diarrhea virus strain CH/GD/2011 spike glycoprotein S2 (S) gene, complete cds	2011	2011-07-01	year
JQ638918.1	JQ638918.1	G2b	Porcine epidemic diarrhea virus strain CH/HBBD/2011 spike glycoprotein S2 (S) gene, complete cds	2011	2011-07-01	year
JX018179.1	JX018179.1	G2b	Porcine epidemic diarrhea virus isolate CH/GXNN/2012 spike protein gene, complete cds	2012	2012-07-01	year
JX145339.1	JX145339.1	G2b	Porcine epidemic diarrhea virus strain CH-GDHY-2011 spike protein mRNA, complete cds	Feb-2011	2011-02-15	month
