accession	clade
MT090146.1	G2c
MT166307.1	G2c
MT263014.1	G2c
MT294128.1	G2c
MT294129.1	G2c
MT294131.1	G2c
MT294132.1	G2c
MT294133.1	G2c
MT294134.1	G2c
MT294135.1	G2c
MT303066.1	G2c
MT338518.1	G2c
MT625963.1	G2c
MT683905.1	G2c
MT683906.1	G2c
MT683907.1	G2c
MT683908.1	G2c
MT787025.1	G2c
MT843278.1	G2c
MW143083.1	G2c
MW143084.1	G2c
MW143085.1	G2c
MW143091.1	G2c
MW143092.1	G2c
MW143094.1	G2c
MW145532.1	G2c
MW145534.1	G2c
MW145535.1	G2c
MW398867.1	G2c
MW413556.1	G2c
MW452940.1	G2c
MW478760.1	G2c
MW478761.1	G2c
MW478762.1	G2c
MW478763.1	G2c
MW478764.1	G2c
MW478765.1	G2c
MW478766.1	G2c
MW478767.1	G2c
MW478769.1	G2c
MW826593.1	G2c
MW826594.1	G2c
MW826596.1	G2c
MW826598.1	G2c
MW826599.1	G2c
MW915419.1	G2c
MZ161001.1	G2c
MZ161002.1	G2c
MZ161003.1	G2c
MZ161004.1	G2c
MZ161005.1	G2c
MZ161007.1	G2c
MZ161008.1	G2c
MZ161009.1	G2c
MZ161010.1	G2c
MZ161011.1	G2c
MZ161012.1	G2c
MZ161013.1	G2c
MZ161015.1	G2c
MZ161016.1	G2c
MZ161017.1	G2c
MZ161019.1	G2c
MZ161020.1	G2c
MZ161021.1	G2c
MZ161026.1	G2c
MZ161027.1	G2c
MZ161028.1	G2c
MZ161031.1	G2c
MZ161038.1	G2c
MZ161039.1	G2c
MZ161040.1	G2c
MZ161042.1	G2c
MZ161043.1	G2c
MZ161044.1	G2c
MZ161045.1	G2c
MZ161048.1	G2c
MZ161049.1	G2c
MZ161050.1	G2c
MZ161051.1	G2c
MZ161052.1	G2c
MZ161053.1	G2c
MZ161054.1	G2c
MZ161055.1	G2c
MZ161056.1	G2c
MZ161057.1	G2c
MZ161058.1	G2c
MZ161061.1	G2c
MZ161062.1	G2c
MZ161063.1	G2c
MZ161064.1	G2c
MZ161065.1	G2c
MZ161066.1	G2c
MZ161068.1	G2c
MZ161071.1	G2c
MZ161072.1	G2c
MZ161073.1	G2c
MZ161075.1	G2c
MZ161077.1	G2c
MZ161079.1	G2c
MZ161082.1	G2c
MZ161083.1	G2c
MZ161084.1	G2c
MZ161085.1	G2c
MZ161086.1	G2c
MZ161087.1	G2c
MZ161088.1	G2c
MZ161089.1	G2c
MZ241108.1	G2c
MZ342899.1	G2c
MZ364310.1	G2c
MZ364311.1	G2c
MZ364312.1	G2c
MZ364313.1	G2c
MZ364315.1	G2c
MZ364316.1	G2c
MZ570133.1	G2c
MZ570134.1	G2c
MZ570135.1	G2c
MZ570136.1	G2c
MZ570137.1	G2c
MZ570138.1	G2c
MZ570139.1	G2c
MZ570140.1	G2c
MZ570141.1	G2c
MZ570142.1	G2c
MZ570143.1	G2c
MZ570144.1	G2c
MZ570145.1	G2c
MZ570146.1	G2c
MZ570147.1	G2c
MZ570148.1	G2c
MZ570149.1	G2c
MZ669834.1	G2c
MZ669835.1	G2c
MZ669836.1	G2c
MZ669837.1	G2c
MZ669838.1	G2c
MZ669839.1	G2c
MZ669840.1	G2c
MZ669841.1	G2c
MZ669842.1	G2c
MZ669843.1	G2c
MZ669844.1	G2c
MZ669845.1	G2c
MZ740469.1	G2c
MZ740470.1	G2c
MZ740471.1	G2c
MZ740472.1	G2c
MZ977202.1	G2c
OK584017.1	G2c
OK642747.1	G2c
OL347994.1	G2c
OL348059.1	G2c
OL361788.1	G2c
OL446966.1	G2c
OL446967.1	G2c
OL762456.1	G2c
OL762457.1	G2c
OL762458.1	G2c
OL762459.1	G2c
OL762460.1	G2c
OL762461.1	G2c
OL841533.1	G2c
OL841534.1	G2c
OL841535.1	G2c
OL841536.1	G2c
OL841537.1	G2c
OL841538.1	G2c
OL855980.1	G2c
OL855981.1	G2c
OL855982.1	G2c
OL855983.1	G2c
OL855984.1	G2c
OL855985.1	G2c
OL855986.1	G2c
OL855987.1	G2c
OL870433.1	G2c
OL870434.1	G2c
OL870435.1	G2c
OL870436.1	G2c
OL907257.1	G2c
OL907258.1	G2c
OL944723.1	G2c
OM201219.1	G2c
OM201220.1	G2c
OM201221.1	G2c
OM393722.1	G2c
OM505025.1	G2c
OM863585.1	G2c
OM914738.1	G2c
OM948904.1	G2c
OM948905.1	G2c
OM948906.1	G2c
OM948907.1	G2c
OM948908.1	G2c
OM948909.1	G2c
OM948911.1	G2c
OM948912.1	G2c
OM948913.1	G2c
OM948914.1	G2c
OM948915.1	G2c
OM948916.1	G2c
OM948917.1	G2c
OM948918.1	G2c
OM948919.1	G2c
OM948923.1	G2c
OM948924.1	G2c
OM948926.1	G2c
OM948927.1	G2c
OM974565.1	G2c
OM974566.1	G2c
OM974567.1	G2c
OM974570.1	G2c
OM974572.1	G2c
OM974574.1	G2c
OM974575.1	G2c
OM974576.1	G2c
OM974577.1	G2c
OM974578.1	G2c
OM974579.1	G2c
OM974580.1	G2c
ON058991.1	G2c
ON058992.1	G2c
ON068583.1	G2c
ON168803.1	G2c
ON248873.1	G2c
ON248875.1	G2c
ON248876.1	G2c
ON248877.1	G2c
ON248878.1	G2c
ON248879.1	G2c
ON248882.1	G2c
ON417000.1	G2c
ON417001.1	G2c
ON417002.1	G2c
ON417004.1	G2c
ON745405.1	G2c
ON960076.1	G2c
ON960077.1	G2c
ON964511.1	G2c
ON968723.1	G2c
ON988085.1	G2c
ON988086.1	G2c
ON988087.1	G2c
ON988088.1	G2c
ON988089.1	G2c
ON988090.1	G2c
ON988091.1	G2c
ON988092.1	G2c
ON988093.1	G2c
ON988094.1	G2c
ON988095.1	G2c
ON988096.1	G2c
OP019335.1	G2c
OP019336.1	G2c
OP019338.1	G2c
OP019340.1	G2c
OP019341.1	G2c
OP019350.1	G2c
OP019351.1	G2c
OP019352.1	G2c
OP171886.1	G2c
OP171889.1	G2c
OP171890.1	G2c
OP171893.1	G2c
OP171894.1	G2c
OP171895.1	G2c
OP171897.1	G2c
OP235511.1	G2c
OP245917.1	G2c
OP374016.1	G2c
OP374017.1	G2c
OP374023.1	G2c
OP433730.1	G2c
OP433731.1	G2c
OP433732.1	G2c
OP433733.1	G2c
OP433734.1	G2c
OP433735.1	G2c
OP433737.1	G2c
OP433738.1	G2c
OP433739.1	G2c
OP433740.1	G2c
OP433741.1	G2c
OP433742.1	G2c
OP433743.1	G2c
OP433744.1	G2c
OP433745.1	G2c
OP480878.1	G2c
OP529823.1	G2c
OP852657.1	G2c
OP852658.1	G2c
OP852659.1	G2c
OQ122084.1	G2c
OQ122085.1	G2c
OQ122086.1	G2c
OQ122087.1	G2c
OQ122088.1	G2c
OQ122089.1	G2c
OQ122090.1	G2c
OQ122091.1	G2c
OQ122093.1	G2c
OQ122094.1	G2c
OQ122095.1	G2c
OQ122096.1	G2c
OQ122097.1	G2c
OQ122099.1	G2c
OQ122101.1	G2c
OQ122107.1	G2c
OQ122110.1	G2c
OQ122112.1	G2c
OQ122113.1	G2c
OQ122114.1	G2c
OQ122115.1	G2c
OQ122116.1	G2c
OQ122117.1	G2c
OQ269588.1	G2c
OQ269590.1	G2c
OQ269591.1	G2c
OQ269592.1	G2c
OQ288925.1	G2c
OQ349200.1	G2c
OQ349202.1	G2c
OQ349203.1	G2c
OQ349209.1	G2c
OQ349212.1	G2c
OQ349214.1	G2c
OQ349216.1	G2c
OQ349218.1	G2c
OQ349219.1	G2c
OQ349220.1	G2c
OQ349222.1	G2c
OQ349223.1	G2c
OQ349226.1	G2c
OQ349228.1	G2c
OQ412638.1	G2c
OQ412639.1	G2c
OQ504178.1	G2c
OQ504179.1	G2c
OQ504180.1	G2c
OQ504181.1	G2c
OQ504182.1	G2c
OQ504183.1	G2c
OQ504184.1	G2c
OQ504185.1	G2c
OQ657291.1	G2c
OQ657292.1	G2c
OQ657293.1	G2c
OQ657294.1	G2c
OQ657295.1	G2c
OQ657296.1	G2c
OQ657297.1	G2c
OQ703966.1	G2c
OQ718883.1	G2c
OQ718884.1	G2c
OQ718885.1	G2c
OQ718886.1	G2c
OQ718887.1	G2c
OQ718888.1	G2c
OQ718889.1	G2c
OQ718890.1	G2c
OQ718891.1	G2c
OQ718892.1	G2c
OQ718893.1	G2c
OQ718894.1	G2c
OQ718895.1	G2c
OQ718896.1	G2c
OQ718897.1	G2c
OQ718898.1	G2c
OQ718899.1	G2c
OQ718900.1	G2c
OQ718901.1	G2c
OQ718902.1	G2c
OQ718903.1	G2c
OQ718904.1	G2c
OQ718905.1	G2c
OQ718906.1	G2c
OQ718907.1	G2c
OQ718908.1	G2c
OQ718909.1	G2c
OQ718910.1	G2c
OQ718911.1	G2c
OQ731918.1	G2c
OQ915150.1	G2c
OQ979198.1	G2c
OQ979199.1	G2c
OQ979200.1	G2c
OR001815.1	G2c
OR001816.1	G2c
OR001818.1	G2c
OR001819.1	G2c
OR001820.1	G2c
OR001821.1	G2c
OR001822.1	G2c
OR001823.1	G2c
OR061129.1	G2c
OR085228.1	G2c
OR085229.1	G2c
OR085230.1	G2c
OR085231.1	G2c
OR085232.1	G2c
OR085233.1	G2c
OR085234.1	G2c
OR085245.1	G2c
OR085246.1	G2c
OR085247.1	G2c
OR085248.1	G2c
OR085249.1	G2c
OR085250.1	G2c
OR085251.1	G2c
OR085253.1	G2c
OR085254.1	G2c
OR085255.1	G2c
OR085257.1	G2c
OR085258.1	G2c
OR085259.1	G2c
OR085260.1	G2c
OR085261.1	G2c
OR085267.1	G2c
OR085268.1	G2c
OR085269.1	G2c
OR085270.1	G2c
OR085271.1	G2c
OR085272.1	G2c
OR085273.1	G2c
OR085274.1	G2c
OR085275.1	G2c
OR085277.1	G2c
OR085278.1	G2c
OR085279.1	G2c
OR085286.1	G2c
OR085287.1	G2c
OR085288.1	G2c
OR085289.1	G2c
OR085290.1	G2c
OR085291.1	G2c
OR085292.1	G2c
OR085293.1	G2c
OR085294.1	G2c
OR085296.1	G2c
OR085297.1	G2c
OR085312.1	G2c
OR089086.1	G2c
OR123893.1	G2c
OR195026.1	G2c
OR195027.1	G2c
OR195028.1	G2c
OR195030.1	G2c
OR195031.1	G2c
OR195032.1	G2c
OR195033.1	G2c
OR195036.1	G2c
OR195038.1	G2c
OR234022.1	G2c
OR240110.1	G2c
OR418363.1	G2c
OR418364.1	G2c
OR472492.1	G2c
OR479080.1	G2c
OR501721.1	G2c
OR501722.1	G2c
OR501723.1	G2c
OR526953.1	G2c
OR567503.1	G2c
OR567504.1	G2c
OR567505.1	G2c
OR567506.1	G2c
OR567507.1	G2c
OR567508.1	G2c
OR567509.1	G2c
OR576823.1	G2c
OR576824.1	G2c
OR576825.1	G2c
OR576826.1	G2c
OR587951.1	G2c
OR601542.1	G2c
OR601543.1	G2c
OR684450.1	G2c
OR684451.1	G2c
OR684452.1	G2c
OR734225.1	G2c
OR804100.1	G2c
OR808014.1	G2c
OR808015.1	G2c
OR808016.1	G2c
OR808017.1	G2c
OR808020.1	G2c
OR992088.1	G2c
PP003006.1	G2c
PP083729.1	G2c
PP198349.1	G2c
PP373526.1	G2c
PP395568.1	G2c
PP395573.1	G2c
PP395574.1	G2c
PP395575.1	G2c
PP395577.1	G2c
PP395579.1	G2c
PP395580.1	G2c
PP395581.1	G2c
PP395583.1	G2c
PP395586.1	G2c
PP395587.1	G2c
PP395589.1	G2c
PP395590.1	G2c
PP395591.1	G2c
PP395592.1	G2c
PP395593.1	G2c
PP442050.1	G2c
PP461398.1	G2c
PP472642.1	G2c
PP472643.1	G2c
PP472644.1	G2c
PP472646.1	G2c
PP501550.1	G2c
PP537163.1	G2c
PP554573.1	G2c
PP580800.1	G2c
PP580802.1	G2c
PP580803.1	G2c
PP580810.1	G2c
PP580812.1	G2c
PP580814.1	G2c
PP580815.1	G2c
PP580816.1	G2c
PP580817.1	G2c
PP580818.1	G2c
PP580819.1	G2c
PP580820.1	G2c
PP580821.1	G2c
PP580822.1	G2c
PP580823.1	G2c
PP580824.1	G2c
PP580825.1	G2c
PP580826.1	G2c
PP580827.1	G2c
PP580828.1	G2c
PP580829.1	G2c
PP595924.1	G2c
PP623116.1	G2c
PP690527.1	G2c
PP723330.1	G2c
PP723331.1	G2c
PP842666.1	G2c
PP901932.1	G2c
PP901933.1	G2c
PP901934.1	G2c
PP901936.1	G2c
PP901937.1	G2c
PP901938.1	G2c
PP901939.1	G2c
PP901940.1	G2c
PP901941.1	G2c
PP901942.1	G2c
PP901943.1	G2c
PP901944.1	G2c
PP901945.1	G2c
PP901946.1	G2c
PP901947.1	G2c
PP901948.1	G2c
PP901949.1	G2c
PP901950.1	G2c
PP901951.1	G2c
PP901952.1	G2c
PP906225.1	G2c
PP906226.1	G2c
PP906227.1	G2c
PP906230.1	G2c
PP911340.1	G2c
PP923930.1	G2c
PP923936.1	G2c
PP923937.1	G2c
PP923940.1	G2c
PP923949.1	G2c
PP923950.1	G2c
PP923951.1	G2c
PP958821.1	G2c
PP987385.1	G2c
PP999774.1	G2c
PQ014389.1	G2c
PQ119498.1	G2c
PQ123997.1	G2c
PQ123998.1	G2c
PQ124001.1	G2c
PQ124002.1	G2c
PQ124003.1	G2c
PQ124004.1	G2c
PQ124005.1	G2c
PQ124006.1	G2c
PQ124008.1	G2c
PQ124009.1	G2c
PQ124010.1	G2c
PQ124011.1	G2c
PQ124012.1	G2c
PQ179480.1	G2c
PQ284566.1	G2c
PQ284567.1	G2c
PQ284573.1	G2c
PQ316088.1	G2c
PQ316090.1	G2c
PQ316091.1	G2c
PQ316092.1	G2c
PQ349477.1	G2c
PQ349478.1	G2c
PQ349479.1	G2c
PQ349480.1	G2c
PQ507869.1	G2c
PQ507870.1	G2c
PQ507871.1	G2c
PQ507872.1	G2c
PQ631046.1	G2c
PQ642131.1	G2c
PQ682538.1	G2c
PQ846960.1	G2c
PQ870875.1	G2c
PQ870876.1	G2c
PQ870877.1	G2c
PV036764.1	G2c
PV036765.1	G2c
PV036767.1	G2c
PV036768.1	G2c
PV036772.1	G2c
PV036773.1	G2c
PV036776.1	G2c
PV036777.1	G2c
PV036778.1	G2c
PV036779.1	G2c
PV036780.1	G2c
PV036781.1	G2c
PV098397.1	G2c
PV098398.1	G2c
PV107499.1	G2c
PV125746.1	G2c
PV146387.1	G2c
PV146388.1	G2c
PV146389.1	G2c
PV146390.1	G2c
PV146391.1	G2c
PV146392.1	G2c
PV146393.1	G2c
PV146394.1	G2c
PV146398.1	G2c
PV146399.1	G2c
PV146401.1	G2c
PV164718.1	G2c
PV164719.1	G2c
PV164723.1	G2c
PV164724.1	G2c
PV164725.1	G2c
PV164726.1	G2c
PV164730.1	G2c
PV164731.1	G2c
PV164732.1	G2c
PV164733.1	G2c
PV164735.1	G2c
PV235412.1	G2c
PV235413.1	G2c
PV235414.1	G2c
PV235415.1	G2c
PV250054.1	G2c
PV250055.1	G2c
PV389918.1	G2c
PV389919.1	G2c
PV394113.1	G2c
PV394114.1	G2c
PV409558.1	G2c
PV409559.1	G2c
PV409560.1	G2c
PV409561.1	G2c
PV409562.1	G2c
PV409563.1	G2c
PV409564.1	G2c
PV409565.1	G2c
PV409566.1	G2c
PV409567.1	G2c
PV409568.1	G2c
PV464256.1	G2c
PV523957.1	G2c
PV523958.1	G2c
PV523959.1	G2c
PV523960.1	G2c
PV523961.1	G2c
PV523962.1	G2c
PV523963.1	G2c
PV523964.1	G2c
PV523965.1	G2c
PV523966.1	G2c
PV523967.1	G2c
PV523968.1	G2c
PV523969.1	G2c
PV523970.1	G2c
PV523971.1	G2c
PV523972.1	G2c
PV523973.1	G2c
PV523974.1	G2c
PV523975.1	G2c
PV523976.1	G2c
PV523977.1	G2c
PV523978.1	G2c
PV523979.1	G2c
PV523980.1	G2c
PV523981.1	G2c
PV523982.1	G2c
PV523983.1	G2c
PV523984.1	G2c
PV523985.1	G2c
PV523986.1	G2c
PV523987.1	G2c
PV523988.1	G2c
PV523989.1	G2c
PV523990.1	G2c
PV523991.1	G2c
PV523992.1	G2c
PV523993.1	G2c
PV523994.1	G2c
PV523995.1	G2c
PV523996.1	G2c
PV523997.1	G2c
PV523998.1	G2c
PV523999.1	G2c
PV524000.1	G2c
PV524001.1	G2c
PV524002.1	G2c
PV524003.1	G2c
PV536060.1	G2c
PV536061.1	G2c
PV536062.1	G2c
PV536063.1	G2c
PV536064.1	G2c
PV536065.1	G2c
PV536067.1	G2c
PV536068.1	G2c
PV536069.1	G2c
PV536070.1	G2c
PV536071.1	G2c
PV536072.1	G2c
PV536075.1	G2c
PV536076.1	G2c
PV536077.1	G2c
PV536078.1	G2c
PV536082.1	G2c
PV536083.1	G2c
PV536084.1	G2c
PV536085.1	G2c
PV536087.1	G2c
PV536088.1	G2c
PV536089.1	G2c
PV536090.1	G2c
PV536092.1	G2c
PV536094.1	G2c
PV536095.1	G2c
PV536096.1	G2c
PV536097.1	G2c
PV536098.1	G2c
PV536100.1	G2c
PV536101.1	G2c
PV536102.1	G2c
PV536103.1	G2c
PV536104.1	G2c
PV536105.1	G2c
PV536107.1	G2c
PV536113.1	G2c
PV536114.1	G2c
PV536115.1	G2c
PV536116.1	G2c
PV536117.1	G2c
PV536118.1	G2c
PV536119.1	G2c
PV536120.1	G2c
PV536121.1	G2c
PV609791.1	G2c
PV609792.1	G2c
PV609793.1	G2c
PV609794.1	G2c
PV609795.1	G2c
PV609797.1	G2c
PV609799.1	G2c
PV614326.1	G2c
PV614327.1	G2c
PV614328.1	G2c
PV614333.1	G2c
PV614334.1	G2c
PV614335.1	G2c
PV614336.1	G2c
PV614337.1	G2c
PV641627.1	G2c
PV641628.1	G2c
PV641629.1	G2c
PV641630.1	G2c
PV641631.1	G2c
PV641633.1	G2c
PV641634.1	G2c
PV641635.1	G2c
PV691661.1	G2c
PV800119.1	G2c
PV837602.1	G2c
PV844362.1	G2c
PV844363.1	G2c
PV844364.1	G2c
PV844365.1	G2c
PV844366.1	G2c
PV844368.1	G2c
PV844372.1	G2c
PV844373.1	G2c
PV844374.1	G2c
PV844375.1	G2c
PV844376.1	G2c
PV890852.1	G2c
PV890853.1	G2c
PV890854.1	G2c
PV890855.1	G2c
PV890856.1	G2c
PV890858.1	G2c
PV890859.1	G2c
PV890860.1	G2c
PV890861.1	G2c
PV890862.1	G2c
PV890863.1	G2c
PV890864.1	G2c
PV890865.1	G2c
PV890866.1	G2c
PV890867.1	G2c
PV890868.1	G2c
PV890869.1	G2c
PV890870.1	G2c
PV890950.1	G2c
PV902815.1	G2c
PV935323.1	G2c
PV935324.1	G2c
PV982377.1	G2c
PX146708.1	G2c
PX229687.1	G2c
PX229689.1	G2c
PX229690.1	G2c
PX229691.1	G2c
PX229692.1	G2c
PX229693.1	G2c
PX229694.1	G2c
PX229695.1	G2c
PX229696.1	G2c
PX229697.1	G2c
PX229698.1	G2c
PX229699.1	G2c
PX229700.1	G2c
PX229701.1	G2c
PX229703.1	G2c
PX229705.1	G2c
PX229707.1	G2c
PX229708.1	G2c
PX229709.1	G2c
PX387542.1	G2c
PX437825.1	G2c
PX470115.1	G2c
PX482648.1	G2c
PX482650.1	G2c
PX482651.1	G2c
PX482652.1	G2c
PX482653.1	G2c
PX482655.1	G2c
PX569374.1	G2c
PX619214.1	G2c
PX619216.1	G2c
PX619217.1	G2c
PX619218.1	G2c
PX634159.1	G2c
PX705503.1	G2c
PX737630.1	G2c
PX737631.1	G2c
JQ239434.1	S-INDEL
JQ979287.1	S-INDEL
JQ979290.1	S-INDEL
JX242464.1	S-INDEL
KP399614.1	S-INDEL
KP399615.1	S-INDEL
KP698759.1	S-INDEL
KP698760.1	S-INDEL
KP698761.2	S-INDEL
KP698769.1	S-INDEL
KP870118.1	S-INDEL
KP870120.1	S-INDEL
KP870123.1	S-INDEL
KP870125.1	S-INDEL
KP870131.1	S-INDEL
KP870132.1	S-INDEL
KR296673.1	S-INDEL
KT388414.1	S-INDEL
KT428878.1	S-INDEL
KU133258.1	S-INDEL
KU133267.1	S-INDEL
KU847996.1	S-INDEL
KX883635.1	S-INDEL
KY381581.1	S-INDEL
KY775053.1	S-INDEL
MG198641.1	S-INDEL
MG198645.1	S-INDEL
MG198655.1	S-INDEL
MG198664.1	S-INDEL
MG198665.1	S-INDEL
MG334006.1	S-INDEL
MG706122.1	S-INDEL
MH061336.1	S-INDEL
MH061338.1	S-INDEL
MH061343.1	S-INDEL
MH593138.1	S-INDEL
MH593148.1	S-INDEL
MH593152.1	S-INDEL
MH593891.1	S-INDEL
MH593896.1	S-INDEL
MK140811.1	S-INDEL
MK140812.1	S-INDEL
MK140813.1	S-INDEL
MK820042.1	S-INDEL
MN893409.1	S-INDEL
MN893414.1	S-INDEL
MN893415.1	S-INDEL
ON248880.1	S-INDEL
ON419534.1	S-INDEL
ON419538.1	S-INDEL
ON419539.1	S-INDEL
OP019334.1	S-INDEL
OP019339.1	S-INDEL
OP019353.1	S-INDEL
OP019354.1	S-INDEL
OP171885.1	S-INDEL
OQ129480.1	S-INDEL
OQ269589.1	S-INDEL
OR001824.1	S-INDEL
OR085235.1	S-INDEL
OR085236.1	S-INDEL
OR085237.1	S-INDEL
OR085239.1	S-INDEL
OR085240.1	S-INDEL
OR085241.1	S-INDEL
OR195035.1	S-INDEL
OR808013.1	S-INDEL
OR808019.1	S-INDEL
PP395594.1	S-INDEL
PP472645.1	S-INDEL
PP580804.1	S-INDEL
PP580805.1	S-INDEL
PP923945.1	S-INDEL
PP923946.1	S-INDEL
PQ123999.1	S-INDEL
PQ507873.1	S-INDEL
PQ507874.1	S-INDEL
PQ768103.1	S-INDEL
PQ878525.1	S-INDEL
PV164720.1	S-INDEL
PV164721.1	S-INDEL
PV523939.1	S-INDEL
PV523940.1	S-INDEL
PV536074.1	S-INDEL
PV536091.1	S-INDEL
PV549293.1	S-INDEL
PV609801.1	S-INDEL
PV614331.1	S-INDEL
PV843383.1	S-INDEL
PV843385.1	S-INDEL
PV843388.1	S-INDEL
PV843391.1	S-INDEL
PV843392.1	S-INDEL
PV843393.1	S-INDEL
PV843394.1	S-INDEL
PV843396.1	S-INDEL
PV843397.1	S-INDEL
PV843398.1	S-INDEL
PV843401.1	S-INDEL
PV843403.1	S-INDEL
PV843404.1	S-INDEL
PV843405.1	S-INDEL
PV843410.1	S-INDEL
PV843411.1	S-INDEL
PV843412.1	S-INDEL
PV843413.1	S-INDEL
PV843414.1	S-INDEL
PV843417.1	S-INDEL
PV843418.1	S-INDEL
PV843419.1	S-INDEL
PV844367.1	S-INDEL
PV974486.1	S-INDEL
PX229702.1	S-INDEL
PX229714.1	S-INDEL
