PP395586.1 Porcine epidemic diarrhea virus strain SC2022MS spike protein (S) gene, complete cds
OM948906.1 Porcine epidemic diarrhea virus isolate CH_NM_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MH816969.1 Porcine epidemic diarrhea virus strain CH/HBXT/2018 spike glycoprotein gene, complete cds
MT294132.1 Porcine epidemic diarrhea virus isolate LNBX-2018 spike glycoprotein (S) gene, complete cds
MT294128.1 Porcine epidemic diarrhea virus isolate HBGJ-2018 spike glycoprotein (S) gene, complete cds
MT294133.1 Porcine epidemic diarrhea virus isolate LNHD-2018 spike glycoprotein (S) gene, complete cds
PP923930.1 UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-SM-1508/China/2015/Yunnan spike protein-like gene, partial sequence
MK592415.1 Porcine epidemic diarrhea virus isolate SWUN19/CH/SCZY/2018 spike protein (S) gene, complete cds
MK598821.1 Porcine epidemic diarrhea virus isolate CH/SCXC/2018 spike protein (S) gene, complete cds
MN368709.1 Porcine epidemic diarrhea virus isolate SDbz18 spike protein (S) gene, complete cds
MN368716.1 Porcine epidemic diarrhea virus isolate GDhz18 spike protein (S) gene, complete cds
MG334008.1 Porcine epidemic diarrhea virus isolate YnP7 spike glycoprotein (S) gene, complete cds
PP923936.1 UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-KM-1705/China/2017/Yunnan spike protein-like gene, partial sequence
PP923937.1 UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-KM-1706/China/2017/Yunnan spike protein-like gene, partial sequence
PX619218.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SHA/2025 genomic sequence
MH003891.1 Porcine epidemic diarrhea virus strain HM2017 spike protein (S) gene, complete cds
MK690502.1 Porcine epidemic diarrhea virus isolate HM2017, complete genome
PP461398.1 Porcine epidemic diarrhea virus isolate JMS S protein gene, complete cds
OQ504180.1 Porcine epidemic diarrhea virus strain PEDV-03/JS/2022 spike protein (S) gene, complete cds
OQ504183.1 Porcine epidemic diarrhea virus strain PEDV-06/JS/2022 spike protein (S) gene, complete cds
PV107499.1 Porcine epidemic diarrhea virus isolate EHuB4_2021_Swine_HB, complete genome
PV235414.1 Porcine epidemic diarrhea virus isolate 2024-JXYX spike (S) gene, complete cds
OP171894.1 Porcine epidemic diarrhea virus isolate FJLY01-2022 spike protein (S) gene, complete cds
OP235511.1 Porcine epidemic diarrhea virus strain FJLY03-2022 spike protein (S) gene, complete cds
MG334009.1 Porcine epidemic diarrhea virus isolate YnP8 spike glycoprotein (S) gene, complete cds
MF346935.1 Porcine epidemic diarrhea virus isolate CH/JLDH/2016, complete genome
KY775045.1 Porcine epidemic diarrhea virus isolate HBHG1 spike protein (S) gene, complete cds
MZ740472.1 Porcine epidemic diarrhea virus strain CH-HNNY-02 spike protein (S) gene, complete cds
OQ504185.1 Porcine epidemic diarrhea virus strain PEDV-08/JS/2022 spike protein (S) gene, complete cds
OM393722.1 Porcine epidemic diarrhea virus isolate PEDV/CH/XC/2020, complete genome
PP580826.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-9 spike protein (S) gene, complete cds
MT294129.1 Porcine epidemic diarrhea virus isolate HLJYTX-2018 spike glycoprotein (S) gene, complete cds
MH053419.1 Porcine epidemic diarrhea virus isolate CH/SCCZ/2017 spike protein (S) gene, complete cds
MZ161063.1 Porcine epidemic diarrhea virus strain CH/GZZY/12/2020 spike protein (S) gene, complete cds
PP595924.1 Porcine epidemic diarrhea virus strain XJ-KT-1 spike protein (S) gene, complete cds
PV536097.1 Porcine epidemic diarrhea virus isolate PEDV-JLBC9-2023, partial genome
MZ161017.1 Porcine epidemic diarrhea virus strain CH/SXXY/11/2020 spike protein (S) gene, complete cds
MZ161009.1 Porcine epidemic diarrhea virus strain CH/SCCD/12/2020 spike protein (S) gene, complete cds
OR734225.1 Porcine epidemic diarrhea virus isolate DY2020, complete genome
MZ740471.1 Porcine epidemic diarrhea virus strain CH-HNPDS-01 spike protein (S) gene, complete cds
OL446967.1 Porcine epidemic diarrhea virus isolate CH/HNPDS/2021, complete genome
OR085234.1 Porcine epidemic diarrhea virus isolate PEDV-FJNL1-2023, complete genome
OR085232.1 Porcine epidemic diarrhea virus isolate PEDV-FJNL4-2023, complete genome
OR085233.1 Porcine epidemic diarrhea virus isolate PEDV-FJNL8-2023, complete genome
OM914738.1 Porcine epidemic diarrhea virus isolate CH/HLJBQL/2022, complete genome
OR085231.1 Porcine epidemic diarrhea virus isolate PEDV-AHCZ3-2022, complete genome
OR085230.1 Porcine epidemic diarrhea virus isolate PEDV-AHCZ1-2022, complete genome
OR085228.1 Porcine epidemic diarrhea virus isolate PEDV-AHCZ10-2022, complete genome
OR085229.1 Porcine epidemic diarrhea virus isolate PEDV-AHCZ8-2022, complete genome
MW826596.1 Porcine epidemic diarrhea virus isolate TQ/2017 spike protein (S) gene, complete cds
MH991833.1 Porcine epidemic diarrhea virus strain G7-SC2017 S protein (S) gene, complete cds
MH053420.1 Porcine epidemic diarrhea virus isolate CH/SCJY/2018 spike protein (S) gene, complete cds
OP019336.1 Porcine epidemic diarrhea virus isolate PEDV/CH/GU/2021 spike protein (S) gene, partial cds
MZ161061.1 Porcine epidemic diarrhea virus strain CH/HBZJC/11/2020 spike protein (S) gene, complete cds
MW826599.1 Porcine epidemic diarrhea virus isolate ZJC/2017 spike protein (S) gene, complete cds
MK862249.1 Porcine epidemic diarrhea virus strain HeN170821, complete genome
MG020538.1 Porcine epidemic diarrhea virus isolate CH-AHBB-1-2016 spike protein (S) gene, complete cds
MT031820.1 Porcine epidemic diarrhea virus strain CH/CC-2/2018 spike protein (S) gene, complete cds
MH991856.1 Porcine epidemic diarrhea virus strain W3-AH2018 S protein (S) gene, complete cds
OQ412638.1 Porcine epidemic diarrhea virus strain ECQ1, complete genome
MH991852.1 Porcine epidemic diarrhea virus strain T5-HA2018 S protein (S) gene, complete cds
MN368723.1 Porcine epidemic diarrhea virus isolate GDst18 spike protein (S) gene, complete cds
OR808016.1 Porcine epidemic diarrhea virus isolate JSyc2021 spike protein (S) gene, complete cds
PX229690.1 Porcine epidemic diarrhea virus isolate JS-SQTJ202102 spike protein gene, complete cds
MK250953.1 Porcine epidemic diarrhea virus strain ZJ/ZX2018-C10, complete genome
MZ161087.1 Porcine epidemic diarrhea virus strain CH/NMGTL/04/2020 spike protein (S) gene, complete cds
MT090137.1 Porcine epidemic diarrhea virus strain HN/HX/2019 spike protein (S) gene, complete cds
MW143091.1 Porcine epidemic diarrhea virus isolate JSS13, complete genome
MW143092.1 Porcine epidemic diarrhea virus isolate JSS14, complete genome
ON068583.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate JS02/2018, complete genome
MT294131.1 Porcine epidemic diarrhea virus isolate JSCF-2018 spike glycoprotein (S) gene, complete cds
MN368715.1 Porcine epidemic diarrhea virus isolate GDhy18-3 spike protein (S) gene, complete cds
MH991858.1 Porcine epidemic diarrhea virus strain W8-JS2018 S protein (S) gene, complete cds
OQ349209.1 Porcine epidemic diarrhea virus isolate FJ1607 spike protein (S) gene, complete cds
OQ349216.1 Porcine epidemic diarrhea virus isolate FJ2015 spike protein (S) gene, complete cds
PP395593.1 Porcine epidemic diarrhea virus strain SC2022GZ spike protein (S) gene, complete cds
MZ161001.1 Porcine epidemic diarrhea virus strain CH/GDHG/12/2020 spike protein (S) gene, complete cds
MZ161019.1 Porcine epidemic diarrhea virus strain CH/YNDL/11/2020 spike protein (S) gene, complete cds
MH991867.1 Porcine epidemic diarrhea virus strain Z7-HA2018 S protein (S) gene, complete cds
OR061129.1 Porcine epidemic diarrhea virus isolate ZQ2022, complete genome
MZ977202.1 Porcine epidemic diarrhea virus strain CH/2018, complete genome
MW143084.1 Porcine epidemic diarrhea virus isolate JSS05, complete genome
MW143085.1 Porcine epidemic diarrhea virus isolate JSS06, complete genome
PQ507872.1 Porcine epidemic diarrhea virus isolate SC/LS/2023 spike protein gene, complete cds
MH061341.1 Porcine epidemic diarrhea virus strain CH/SCLS/2018, complete genome
PP395589.1 Porcine epidemic diarrhea virus strain SC2022CD spike protein (S) gene, complete cds
PV036765.1 Porcine epidemic diarrhea virus isolate HLJ8, complete genome
PV844368.1 Porcine epidemic diarrhea virus isolate G2b spike protein gene, complete cds
OR526953.1 Porcine epidemic diarrhea virus isolate PEDV-LN-P15 spike protein gene, complete cds
MN368721.1 Porcine epidemic diarrhea virus isolate GDsg18-1 spike protein (S) gene, complete cds
OQ731918.1 Porcine epidemic diarrhea virus isolate PEDV-GX02/2022, complete genome
MW826594.1 Porcine epidemic diarrhea virus isolate HH/2017 spike protein (S) gene, complete cds
ON417002.1 Porcine epidemic diarrhea virus isolate JS2019-3 spike protein gene, complete cds
MZ161038.1 Porcine epidemic diarrhea virus strain CH/JXHY/09/2020 spike protein (S) gene, complete cds
MZ161085.1 Porcine epidemic diarrhea virus strain CH/SDLQ/09/2020 spike protein (S) gene, complete cds
MZ161089.1 Porcine epidemic diarrhea virus strain CH/SDJN/07/2020 spike protein (S) gene, complete cds
PV036773.1 Porcine epidemic diarrhea virus isolate HB1, complete genome
PV036776.1 Porcine epidemic diarrhea virus isolate HB4, complete genome
PV036777.1 Porcine epidemic diarrhea virus isolate HB5, complete genome
MH991853.1 Porcine epidemic diarrhea virus strain U2-HA2018 S protein (S) gene, complete cds
MH678638.1 Porcine epidemic diarrhea virus isolate CH/SCJY710/2018 spike protein (S) gene, complete cds
MZ364315.1 Porcine epidemic diarrhea virus strain CH/GX/PEDV/2467/2019, complete genome
MZ364316.1 Porcine epidemic diarrhea virus strain CH/GX/PEDV/2473/2019, complete genome
MK685665.1 Porcine epidemic diarrhea virus isolate CH-SCNJ-2019 spike protein (S) gene, complete cds
MN368714.1 Porcine epidemic diarrhea virus isolate GDhy18-2 spike protein (S) gene, complete cds
MN368713.1 Porcine epidemic diarrhea virus isolate GDhy18-1 spike protein (S) gene, complete cds
MN368717.1 Porcine epidemic diarrhea virus isolate GDjm18-1 spike protein (S) gene, complete cds
MN368719.1 Porcine epidemic diarrhea virus isolate GDmm18-1 spike protein (S) gene, complete cds
OQ718888.1 Porcine epidemic diarrhea virus isolate CH-HeN08-2021 spike protein (S) gene, complete cds
MH061337.1 Porcine epidemic diarrhea virus strain CH/SCZG/2017, complete genome
PP690527.1 Porcine epidemic diarrhea virus isolate SCCD-P05, complete genome
PX482652.1 Porcine epidemic diarrhea virus isolate CH-SWM-YB, complete genome
MH593893.1 Porcine epidemic diarrhea virus isolate CH/TP/4-4/2018 spike protein (S) gene, complete cds
MH593895.1 Porcine epidemic diarrhea virus isolate CH/TP/D15/2018 spike protein (S) gene, complete cds
PP395591.1 Porcine epidemic diarrhea virus strain SC2022GY spike protein (S) gene, complete cds
PP395592.1 Porcine epidemic diarrhea virus strain SC2022DZ spike protein (S) gene, complete cds
PV523963.1 Porcine epidemic diarrhea virus isolate AH03-11-CN_2021 spike protein (S) gene, complete cds
PV409562.1 Porcine epidemic diarrhea virus isolate CH/SXAK spike protein gene, complete cds
PV409560.1 Porcine epidemic diarrhea virus isolate CH/HNAY spike protein gene, complete cds
PV409563.1 Porcine epidemic diarrhea virus isolate CH/HNLY/2021 spike protein gene, complete cds
MN368691.1 Porcine epidemic diarrhea virus isolate GDsg16-2 spike protein (S) gene, complete cds
PV409559.1 Porcine epidemic diarrhea virus isolate CH/GSLZ spike protein gene, complete cds
OR234022.1 Porcine epidemic diarrhea virus isolate SXXY, complete genome
OL907257.1 Porcine epidemic diarrhea virus strain PEDV-SXBJ-1 spike protein (S) gene, complete cds
OL907258.1 Porcine epidemic diarrhea virus strain PEDV-SXBJ-2 spike protein (S) gene, complete cds
OR472492.1 Porcine epidemic diarrhea virus isolate SXXY-1 spike protein gene, complete cds
PV409558.1 Porcine epidemic diarrhea virus isolate SXHZ/2019 spike protein gene, complete cds
PV409561.1 Porcine epidemic diarrhea virus isolate CH/HNJZ spike protein gene, complete cds
MN617861.1 Porcine epidemic diarrhea virus isolate CH/SCZY-1/2018 spike protein (S) gene, complete cds
MW145532.1 Porcine epidemic diarrhea virus strain CH/SCDY-1/2020 spike protein (S) gene, complete cds
MH053418.1 Porcine epidemic diarrhea virus isolate CH/SCAZ1/2017 spike protein (S) gene, complete cds
MH061339.1 Porcine epidemic diarrhea virus strain CH/SCAZ10/2017, complete genome
MW915419.1 Porcine epidemic diarrhea virus isolate FH/2017 spike protein (S) gene, complete cds
MK533007.1 Porcine epidemic diarrhea virus strain PB1-SD2018 spike protein (S) gene, complete cds
MH726383.1 Porcine epidemic diarrhea virus isolate GDS50, complete genome
MH991846.1 Porcine epidemic diarrhea virus strain PA3-GD2018 S protein (S) gene, complete cds
MK533006.1 Porcine epidemic diarrhea virus strain PA4-GD2018 spike protein (S) gene, complete cds
PV146387.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW26/2022 S protein (S) gene, partial cds
PV146389.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW28/2022 S protein (S) gene, partial cds
PX229697.1 Porcine epidemic diarrhea virus isolate JS-SQMV202102 spike protein gene, complete cds
MH991860.1 Porcine epidemic diarrhea virus strain Y11-FJ2018 S protein (S) gene, complete cds
OM201219.1 Porcine epidemic diarrhea virus isolate PEDV/S007 spike protein gene, complete cds
OM201220.1 Porcine epidemic diarrhea virus isolate PEDV/S009 spike protein gene, complete cds
OP171890.1 Porcine epidemic diarrhea virus isolate FJLY02-2019 spike protein (S) gene, complete cds
OR001821.1 Porcine epidemic diarrhea virus isolate LY02 spike protein (S) gene, complete cds
OP171889.1 Porcine epidemic diarrhea virus isolate FJLY02-2018 spike protein (S) gene, complete cds
PX619214.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SHB/2025-01 genomic sequence
OL841533.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HB/BD01 spike-like (S) gene, complete sequence
OL870433.1 Porcine epidemic diarrhea virus isolate CH/HB/CZ01 spike (S) gene, complete cds
OL841536.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HB/HD01 spike-like (S) gene, complete sequence
OL870436.1 Porcine epidemic diarrhea virus isolate CH/HB/ZJK02 spike (S) gene, complete cds
OL841537.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HB/HD02 spike-like (S) gene, complete sequence
OL870435.1 Porcine epidemic diarrhea virus isolate CH/HB/ZJK01 spike (S) gene, complete cds
PQ846960.1 Porcine epidemic diarrhea virus isolate GZ/2024, complete genome
PV523996.1 Porcine epidemic diarrhea virus isolate SX02-11-CN_2023 spike protein (S) gene, complete cds
PP083729.1 Porcine epidemic diarrhea virus isolate PED/swine/JS/SJ-2022 spike protein (S) gene, complete cds
PV523979.1 Porcine epidemic diarrhea virus isolate GX04-12-CN_2024 spike protein (S) gene, complete cds
PV609795.1 Porcine epidemic diarrhea virus isolate PEDV DY2401 spike protein (S) gene, complete cds
PV641633.1 Porcine epidemic diarrhea virus isolate PEDV CD2402 spike protein (S) gene, partial cds
PV641634.1 Porcine epidemic diarrhea virus isolate YA2401 spike protein (S) gene, partial cds
PV641635.1 Porcine epidemic diarrhea virus isolate NC2401 spike protein (S) gene, partial cds
OQ288925.1 Porcine epidemic diarrhea virus isolate CZ01 spike protein (S) gene, complete cds
PP395579.1 Porcine epidemic diarrhea virus strain SC2021ZG spike protein (S) gene, complete cds
PQ124008.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-SL S protein gene, complete cds
PV523977.1 Porcine epidemic diarrhea virus isolate GX02-09-CN_2023 spike protein (S) gene, complete cds
PV523990.1 Porcine epidemic diarrhea virus isolate SD01-06-CN_2024 spike protein (S) gene, complete cds
PV523958.1 Porcine epidemic diarrhea virus isolate AH01-02-CN_2024 spike protein (S) gene, complete cds
PV609794.1 Porcine epidemic diarrhea virus isolate PEDV CD2401 spike protein (S) gene, complete cds
PV523965.1 Porcine epidemic diarrhea virus isolate AH04-09-CN_2024 spike protein (S) gene, complete cds
PV523968.1 Porcine epidemic diarrhea virus isolate AH05-11-CN_2024 spike protein (S) gene, complete cds
PV523970.1 Porcine epidemic diarrhea virus isolate AH07-12-CN_2024 spike protein (S) gene, complete cds
PV523966.1 Porcine epidemic diarrhea virus isolate AH04-12-CN_2023 spike protein (S) gene, complete cds
PV523986.1 Porcine epidemic diarrhea virus isolate JS01-05-CN_2024 spike protein (S) gene, complete cds
PV523981.1 Porcine epidemic diarrhea virus isolate HLJ01-07-CN_2024 spike protein (S) gene, complete cds
PV523974.1 Porcine epidemic diarrhea virus isolate GX01-03-CN_2024 spike protein (S) gene, complete cds
PV523962.1 Porcine epidemic diarrhea virus isolate AH03-08-CN_2024 spike protein (S) gene, complete cds
PV523975.1 Porcine epidemic diarrhea virus isolate GX02-04-CN_2024 spike protein (S) gene, complete cds
MH991851.1 Porcine epidemic diarrhea virus strain T10-HB2018 S protein (S) gene, complete cds
MK644605.1 Porcine epidemic diarrhea virus isolate T10-HB2018, complete genome
MN368711.1 Porcine epidemic diarrhea virus isolate FJfz18-2 spike protein (S) gene, complete cds
MN893421.1 Porcine epidemic diarrhea virus isolate CH-HNXY-3-2018 spike glycoprotein gene, complete cds
OR001822.1 Porcine epidemic diarrhea virus isolate LY03 spike protein (S) gene, complete cds
OP171886.1 Porcine epidemic diarrhea virus isolate FJLY01-2019 spike protein (S) gene, complete cds
MG020541.1 Porcine epidemic diarrhea virus isolate CH-AHXC-1-2016 spike protein (S) gene, complete cds
MG020547.1 Porcine epidemic diarrhea virus isolate CH-JXJJ-1-2016 spike protein (S) gene, complete cds
MH991863.1 Porcine epidemic diarrhea virus strain Y2-HA2018 S protein (S) gene, complete cds
MG020539.1 Porcine epidemic diarrhea virus isolate CH-AHHX-1-2016 spike protein (S) gene, complete cds
MG020551.1 Porcine epidemic diarrhea virus isolate CH-ML-1-2016 spike protein (S) gene, complete cds
PQ682538.1 Porcine epidemic diarrhea virus strain AHCZ02, complete genome
OL347994.1 Porcine epidemic diarrhea virus isolate CMMZH2110, complete genome
OM201221.1 Porcine epidemic diarrhea virus isolate PEDV/S001 spike protein gene, complete cds
MZ161026.1 Porcine epidemic diarrhea virus strain CH/HBMZ/10/2020 spike protein (S) gene, complete cds
PV523980.1 Porcine epidemic diarrhea virus isolate GX07-11-CN_2021 spike protein (S) gene, complete cds
MN412557.1 Porcine epidemic diarrhea virus strain HN-JY/2018 S protein (S) gene, complete cds
PV691661.1 Porcine epidemic diarrhea virus isolate CH/SXWN/2019 spike protein gene, complete cds
MH581489.1 Porcine epidemic diarrhea virus isolate CH/HBTS/2017, complete genome
PX229705.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate JS-LYGYT202310 spike protein-like gene, complete sequence
PX229699.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate JS-SQBQ202205 spike protein-like gene, partial sequence
PX229700.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate JS-SQBQ202202 spike protein-like gene, partial sequence
MG198637.1 Porcine epidemic diarrhea virus isolate JSYC1601 spike protein gene, complete cds
OQ349200.1 Porcine epidemic diarrhea virus isolate SD1(2021), complete genome
OQ349222.1 Porcine epidemic diarrhea virus isolate SD1 spike protein (S) gene, complete cds
KY496313.1 Porcine epidemic diarrhea virus strain CH_huaiyang_2015 S protein (S) gene, complete cds
KY496315.1 Porcine epidemic diarrhea virus strain CH_hubei_2016 S protein (S) gene, complete cds
MH708243.1 Porcine epidemic diarrhea virus strain H11-SD2017, complete genome
MK532994.1 Porcine epidemic diarrhea virus strain H1-SD2017 spike protein (S) gene, complete cds
MH991834.1 Porcine epidemic diarrhea virus strain H13-HA2017 S protein (S) gene, complete cds
OR501721.1 Porcine epidemic diarrhea virus strain FJS1-3 spike protein (S) gene, complete cds
MW478761.1 Porcine epidemic diarrhea virus isolate GDsg02 spike protein (S) gene, complete cds
MH593153.1 Porcine epidemic diarrhea virus isolate CH/SCBC/2018 spike protein (S) gene, complete cds
MK656507.1 Porcine epidemic diarrhea virus strain JN1806-31 S protein gene, complete cds
MH593144.1 Porcine epidemic diarrhea virus isolate CH/SCDY523/2018 spike protein (S) gene, complete cds
MK533009.1 Porcine epidemic diarrhea virus strain S2-GD2018 spike protein (S) gene, complete cds
MN368708.1 Porcine epidemic diarrhea virus isolate JXnc17 spike protein (S) gene, complete cds
MH726405.1 Porcine epidemic diarrhea virus isolate GDS48, complete genome
MZ669839.1 Porcine epidemic diarrhea virus strain CH-GXNN-6-2018 spike protein gene, partial cds
MZ669836.1 Porcine epidemic diarrhea virus strain CH-GXNN-3-2018 spike protein gene, partial cds
MZ669838.1 Porcine epidemic diarrhea virus strain CH-GXNN-5-2018 spike protein gene, partial cds
MZ669837.1 Porcine epidemic diarrhea virus strain CH-GXNN-4-2018 spike protein gene, partial cds
MZ669840.1 Porcine epidemic diarrhea virus strain CH-GXNN-7-2018 spike protein gene, partial cds
MF152604.1 Porcine epidemic diarrhea virus strain CH/HNPJ/2017 spike protein gene, complete cds
MH726403.1 Porcine epidemic diarrhea virus isolate GDS51, complete genome
MH726404.1 Porcine epidemic diarrhea virus isolate GDS53, complete genome
KY928065.1 Porcine epidemic diarrhea virus isolate CH_hubei_2016, complete genome
PP395581.1 Porcine epidemic diarrhea virus strain SC2021YA spike protein (S) gene, complete cds
MG334002.1 Porcine epidemic diarrhea virus isolate YnP1 spike glycoprotein (S) gene, complete cds
MG334003.1 Porcine epidemic diarrhea virus isolate YnP2 spike glycoprotein (S) gene, complete cds
MH991835.1 Porcine epidemic diarrhea virus strain J3-HA2017 S protein (S) gene, complete cds
OR601542.1 Porcine epidemic diarrhea virus isolate GS/YD17/2022, complete genome
OR601543.1 Porcine epidemic diarrhea virus isolate GS/YD37/2022, complete genome
MN412572.1 Porcine epidemic diarrhea virus strain SX-TY2/2017 S protein (S) gene, complete cds
MN368684.1 Porcine epidemic diarrhea virus isolate GDfs16 spike protein (S) gene, complete cds
MN368693.1 Porcine epidemic diarrhea virus isolate GDdg17 spike protein (S) gene, complete cds
MN368690.1 Porcine epidemic diarrhea virus isolate GDsg16-1 spike protein (S) gene, complete cds
MN368683.1 Porcine epidemic diarrhea virus isolate FJqz16 spike protein (S) gene, complete cds
MZ342899.1 Porcine epidemic diarrhea virus isolate PEDV HM, complete genome
MG983755.1 Porcine epidemic diarrhea virus strain GDgh, complete genome
MF152603.1 Porcine epidemic diarrhea virus strain CH/HNLB/2017 spike protein gene, complete cds
PP554573.1 Porcine epidemic diarrhea virus isolate GS/2020/04 S protein gene, complete cds
OQ122099.1 Porcine epidemic diarrhea virus isolate GXGL/2022 spike protein (S) gene, complete cds
PP472644.1 Porcine epidemic diarrhea virus isolate GXGL/2022, complete genome
MF807951.1 Porcine epidemic diarrhea virus strain C3-HB2017, complete genome
MK532990.1 Porcine epidemic diarrhea virus strain C1-GD2017 spike protein (S) gene, complete cds
MK532991.1 Porcine epidemic diarrhea virus strain C2-HB2017 spike protein (S) gene, complete cds
OQ122088.1 Porcine epidemic diarrhea virus isolate HNNY/2022 spike protein (S) gene, complete cds
PP472643.1 Porcine epidemic diarrhea virus isolate HNNY/2022, complete genome
OR001818.1 Porcine epidemic diarrhea virus isolate A2021016 spike protein (S) gene, complete cds
OP171893.1 Porcine epidemic diarrhea virus isolate FJLY01-2021 spike protein (S) gene, complete cds
OP171897.1 Porcine epidemic diarrhea virus isolate FJLY03-2021 spike protein (S) gene, complete cds
OP171895.1 Porcine epidemic diarrhea virus isolate FJLY02-2021 spike protein (S) gene, complete cds
OR001820.1 Porcine epidemic diarrhea virus isolate A22073102 spike protein (S) gene, complete cds
OR001819.1 Porcine epidemic diarrhea virus isolate A2021018 spike protein (S) gene, complete cds
OR001823.1 Porcine epidemic diarrhea virus isolate A2021017 spike protein (S) gene, complete cds
OQ657291.1 Porcine epidemic diarrhea virus strain HNZK1 spike protein (S) gene, complete cds
OQ657292.1 Porcine epidemic diarrhea virus strain HNZK2 spike protein (S) gene, complete cds
OQ979200.1 Porcine epidemic diarrhea virus strain HNZK1, complete genome
PV523971.1 Porcine epidemic diarrhea virus isolate AH09-12-CN_2024 spike protein (S) gene, complete cds
PX437825.1 Porcine epidemic diarrhea virus isolate PEDV-7, complete genome
PV609799.1 Porcine epidemic diarrhea virus isolate PEDV LS2401 spike protein (S) gene, partial cds
PX482651.1 Porcine epidemic diarrhea virus isolate CH-SWM-SN, complete genome
PP003006.1 Porcine epidemic diarrhea virus isolate SX2023 spike protein (S) gene, complete cds
PV614333.1 Porcine epidemic diarrhea virus isolate XC2401 spike protein (S) gene, partial cds
PV164718.1 Porcine epidemic diarrhea virus isolate PEDV HN22HN1101 spike protein (S) gene, complete cds
PP395580.1 Porcine epidemic diarrhea virus strain SC2021GA spike protein (S) gene, complete cds
OR418363.1 Porcine epidemic diarrhea virus strain FS202201, complete genome
OR418364.1 Porcine epidemic diarrhea virus strain JY202201, complete genome
OR085312.1 Porcine epidemic diarrhea virus isolate PEDV-JLYH1-2023, complete genome
OQ122113.1 Porcine epidemic diarrhea virus isolate GZBJ/2021 spike protein (S) gene, complete cds
OM948912.1 Porcine epidemic diarrhea virus isolate CH_SCCZ01_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
ON417004.1 Porcine epidemic diarrhea virus isolate JS2019-5 spike protein gene, complete cds
MH991849.1 Porcine epidemic diarrhea virus strain R3-GD2017 S protein (S) gene, complete cds
MN368699.1 Porcine epidemic diarrhea virus isolate GDhy17 spike protein (S) gene, complete cds
MN368705.1 Porcine epidemic diarrhea virus isolate GDmm17-2 spike protein (S) gene, complete cds
MN368704.1 Porcine epidemic diarrhea virus isolate GDmm17-1 spike protein (S) gene, complete cds
MN368720.1 Porcine epidemic diarrhea virus isolate GDmm18-2 spike protein (S) gene, complete cds
MZ669844.1 Porcine epidemic diarrhea virus strain CH-GXBH-1-2018 spike protein gene, partial cds
MZ669845.1 Porcine epidemic diarrhea virus strain CH-GXBH-2-2018 spike protein gene, partial cds
ON745405.1 Porcine epidemic diarrhea virus strain GDqy2017 spike (S) gene, complete cds
MN368689.1 Porcine epidemic diarrhea virus isolate GDjx16 spike protein (S) gene, complete cds
MN368698.1 Porcine epidemic diarrhea virus isolate FJqz17-2 spike protein (S) gene, complete cds
MZ364311.1 Porcine epidemic diarrhea virus strain CH/GX/PEDV/1902/2017, complete genome
MZ364312.1 Porcine epidemic diarrhea virus strain CH/GX/PEDV/1939/2018, complete genome
MG334010.1 Porcine epidemic diarrhea virus isolate YnP9 spike glycoprotein (S) gene, complete cds
MG198670.1 Porcine epidemic diarrhea virus isolate SHHC2016 spike protein gene, complete cds
MW143094.1 Porcine epidemic diarrhea virus isolate JSS16, complete genome
MG334007.1 Porcine epidemic diarrhea virus isolate YnP6 spike glycoprotein (S) gene, complete cds
KY775042.1 Porcine epidemic diarrhea virus isolate HBXY3 spike protein (S) gene, complete cds
MN213154.1 Porcine epidemic diarrhea virus isolate CH/SCXM/2019 spike protein gene, complete cds
MH593147.1 Porcine epidemic diarrhea virus isolate CH/SCPZ/2018 spike protein (S) gene, complete cds
MH893764.1 Porcine epidemic diarrhea virus isolate HB2016-1 spike protein (S) gene, complete cds
MK138353.1 Porcine epidemic diarrhea virus strain G2, complete genome
MH991832.1 Porcine epidemic diarrhea virus strain G2-HE2017 S protein (S) gene, complete cds
MK644601.1 Porcine epidemic diarrhea virus isolate G2-HE2017, complete genome
MH726402.1 Porcine epidemic diarrhea virus isolate GDS46, complete genome
KY775046.1 Porcine epidemic diarrhea virus isolate HBHG2 spike protein (S) gene, complete cds
KY775047.1 Porcine epidemic diarrhea virus isolate HBHG3 spike protein (S) gene, complete cds
