strain	accession	clade	description
MN368706.1	MN368706.1	G2a	Porcine epidemic diarrhea virus isolate GDsg17 spike protein (S) gene, complete cds
MN368710.1	MN368710.1	G2a	Porcine epidemic diarrhea virus isolate FJfz18-1 spike protein (S) gene, complete cds
MN368724.1	MN368724.1	G2a	Porcine epidemic diarrhea virus isolate GDzj18-1 spike protein (S) gene, complete cds
MN412558.1	MN412558.1	G2a	Porcine epidemic diarrhea virus strain HN-HB1/2018 S protein (S) gene, complete cds
MN412559.1	MN412559.1	G2a	Porcine epidemic diarrhea virus strain HN-HB2/2018 S protein (S) gene, complete cds
MN412560.1	MN412560.1	G2a	Porcine epidemic diarrhea virus strain HN-XC1/2018 S protein (S) gene, complete cds
MN412561.1	MN412561.1	G2a	Porcine epidemic diarrhea virus strain HN-XC2/2018 S protein (S) gene, complete cds
MN412562.1	MN412562.1	G2a	Porcine epidemic diarrhea virus strain HN-XX1/2016 S protein (S) gene, complete cds
MN412563.1	MN412563.1	G2a	Porcine epidemic diarrhea virus strain HN-XX2/2016 S protein (S) gene, complete cds
MN412564.1	MN412564.1	G2a	Porcine epidemic diarrhea virus strain HN-XX3/2016 S protein (S) gene, complete cds
MN412565.1	MN412565.1	G2a	Porcine epidemic diarrhea virus strain HN-YY1/2018 S protein (S) gene, complete cds
MN412566.1	MN412566.1	G2a	Porcine epidemic diarrhea virus strain HN-YY2/2018 S protein (S) gene, complete cds
MN412568.1	MN412568.1	G2a	Porcine epidemic diarrhea virus strain HN-PY/2016 S protein (S) gene, complete cds
MN412569.1	MN412569.1	G2a	Porcine epidemic diarrhea virus strain HN-XX/2016 S protein (S) gene, complete cds
MN412573.1	MN412573.1	G2a	Porcine epidemic diarrhea virus strain SX-WS1/2018 S protein (S) gene, complete cds
MN594506.1	MN594506.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain SX-WH, complete genome
MN612069.1	MN612069.1	G2a	Porcine epidemic diarrhea virus strain CH-MDJ-NA03 spike protein gene, complete cds
MN612070.1	MN612070.1	G2a	Porcine epidemic diarrhea virus strain CH-AH-HX122 spike protein gene, complete cds
MN612071.1	MN612071.1	G2a	Porcine epidemic diarrhea virus strain CH-SX-CZ01 spike protein gene, complete cds
MN612072.1	MN612072.1	G2a	Porcine epidemic diarrhea virus strain CH-HeB-XT01 spike protein gene, complete cds
MN612073.1	MN612073.1	G2a	Porcine epidemic diarrhea virus strain CH-SD-WF01 spike protein gene, complete cds
MN612074.1	MN612074.1	G2a	Porcine epidemic diarrhea virus strain CH-HuN-SY01 spike protein gene, complete cds
MN612075.1	MN612075.1	G2a	Porcine epidemic diarrhea virus strain CH-FJ-SM01 spike protein gene, complete cds
MN612076.1	MN612076.1	G2a	Porcine epidemic diarrhea virus strain CH-GD-ZQ01 spike protein gene, complete cds
MN612077.1	MN612077.1	G2a	Porcine epidemic diarrhea virus strain CH-HuB-YC01 spike protein gene, complete cds
MN617863.1	MN617863.1	G2a	Porcine epidemic diarrhea virus isolate CH/SCGY-1/2018 spike protein (S) gene, complete cds
MN721360.1	MN721360.1	G2a	Porcine epidemic diarrhea virus isolate CH-SX-YCDZ spike protein gene, complete cds
MN721361.1	MN721361.1	G2a	Porcine epidemic diarrhea virus isolate CH-Tibet-SN22 spike protein gene, complete cds
MN721362.1	MN721362.1	G2a	Porcine epidemic diarrhea virus isolate CH-SX-YL6567 spike protein gene, complete cds
MN721363.1	MN721363.1	G2a	Porcine epidemic diarrhea virus isolate CH-GS-TS01 spike protein gene, complete cds
MN721365.1	MN721365.1	G2a	Porcine epidemic diarrhea virus isolate CH-GZ-GY254 spike protein gene, complete cds
MN721366.1	MN721366.1	G2a	Porcine epidemic diarrhea virus isolate CH-NX-WZ spike protein gene, complete cds
MN721367.1	MN721367.1	G2a	Porcine epidemic diarrhea virus isolate CH-SC-DY01 spike protein gene, complete cds
MN721368.1	MN721368.1	G2a	Porcine epidemic diarrhea virus isolate CH-SX-YL27 spike protein gene, complete cds
MN721369.1	MN721369.1	G2a	Porcine epidemic diarrhea virus isolate CH-JL-BS7 spike protein gene, complete cds
MN721371.1	MN721371.1	G2a	Porcine epidemic diarrhea virus isolate CH-LN-TL01 spike protein gene, complete cds
MN721372.1	MN721372.1	G2a	Porcine epidemic diarrhea virus isolate CH-LN-CY27 spike protein gene, complete cds
MN721373.1	MN721373.1	G2a	Porcine epidemic diarrhea virus isolate CH-GX-GG27 spike protein gene, complete cds
MN893417.1	MN893417.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNSMX-2016 spike glycoprotein gene, complete cds
MN893424.1	MN893424.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNZK-3-2018 spike glycoprotein gene, complete cds
MN893427.1	MN893427.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNZZ-2017 spike glycoprotein gene, complete cds
MT090138.1	MT090138.1	G2a	Porcine epidemic diarrhea virus strain HN/KF/2019 spike protein (S) gene, complete cds
MT090139.1	MT090139.1	G2a	Porcine epidemic diarrhea virus strain HN/XC/2019 spike protein (S) gene, complete cds
MT090145.1	MT090145.1	G2a	Porcine epidemic diarrhea virus strain CH/HNYY/2018, complete genome
MT294130.1	MT294130.1	G2a	Porcine epidemic diarrhea virus isolate JLSD-2018 spike glycoprotein (S) gene, complete cds
MT338517.1	MT338517.1	G2a	Porcine epidemic diarrhea virus strain CH/HNXX/2016, complete genome
MT547179.1	MT547179.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d, complete genome
MT547180.1	MT547180.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c, complete genome
MT646162.1	MT646162.1	G2a	Porcine epidemic diarrhea virus isolate YJH/2015, complete genome
MT659926.1	MT659926.1	G2a	Porcine epidemic diarrhea virus, complete genome
MT683617.1	MT683617.1	G2a	Porcine epidemic diarrhea virus strain MSCH, complete genome
MT843280.1	MT843280.1	G2a	Porcine epidemic diarrhea virus, complete genome
MW143081.1	MW143081.1	G2a	Porcine epidemic diarrhea virus isolate JSS02, complete genome
MW143082.1	MW143082.1	G2a	Porcine epidemic diarrhea virus isolate JSS03, complete genome
MW143086.1	MW143086.1	G2a	Porcine epidemic diarrhea virus isolate JSS07, complete genome
MW143087.1	MW143087.1	G2a	Porcine epidemic diarrhea virus isolate JSS08, complete genome
MW143088.1	MW143088.1	G2a	Porcine epidemic diarrhea virus isolate JSS09, complete genome
MW143089.1	MW143089.1	G2a	Porcine epidemic diarrhea virus isolate JSS10, complete genome
MW143090.1	MW143090.1	G2a	Porcine epidemic diarrhea virus isolate JSS11, complete genome
MW143093.1	MW143093.1	G2a	Porcine epidemic diarrhea virus isolate JSS15, complete genome
MW478768.1	MW478768.1	G2a	Porcine epidemic diarrhea virus isolate GDsg09 spike protein (S) gene, complete cds
MW478770.1	MW478770.1	G2a	Porcine epidemic diarrhea virus isolate GDsg11 spike protein (S) gene, complete cds
MW478771.1	MW478771.1	G2a	Porcine epidemic diarrhea virus isolate GDsg12 spike protein (S) gene, complete cds
MW478772.1	MW478772.1	G2a	Porcine epidemic diarrhea virus isolate GDsg13 spike protein (S) gene, complete cds
MW561264.1	MW561264.1	G2a	Porcine epidemic diarrhea virus strain CH/HLJ/18, complete genome
MW762534.1	MW762534.1	G2a	Porcine epidemic diarrhea virus isolate GXNN, complete genome
MW826595.1	MW826595.1	G2a	Porcine epidemic diarrhea virus isolate LP/2017 spike protein (S) gene, complete cds
MW826597.1	MW826597.1	G2a	Porcine epidemic diarrhea virus isolate WF/2017 spike protein (S) gene, complete cds
MZ161047.1	MZ161047.1	G2a	Porcine epidemic diarrhea virus strain CH/HNZZ/06/2020 spike protein (S) gene, complete cds
MZ161060.1	MZ161060.1	G2a	Porcine epidemic diarrhea virus strain CH/GXLP/07/2020 spike protein (S) gene, complete cds
MZ380292.1	MZ380292.1	G2a	Porcine epidemic diarrhea virus isolate CHHN2016, complete genome
MZ712170.1	MZ712170.1	G2a	Porcine epidemic diarrhea virus strain PEDV-KB2013-130, complete genome
OL855978.1	OL855978.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate SX01-2014 sequence
OL855979.1	OL855979.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate SX02-2015 sequence
OL907256.1	OL907256.1	G2a	Porcine epidemic diarrhea virus strain CH/SXJC-2019 spike protein (S) gene, complete cds
OL907259.1	OL907259.1	G2a	Porcine epidemic diarrhea virus strain CH-GSWW-2019 spike protein (S) gene, complete cds
OM776958.1	OM776958.1	G2a	Porcine epidemic diarrhea virus isolate CH/HLJ-6/2021, complete genome
OM948910.1	OM948910.1	G2a	Porcine epidemic diarrhea virus isolate CH_SCDZ02_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
OM948925.1	OM948925.1	G2a	Porcine epidemic diarrhea virus isolate CH_SCDZ01_2020 spike protein (S) gene, complete cds
ON058990.1	ON058990.1	G2a	Porcine epidemic diarrhea virus strain SCLSSWUN02 spike protein (S), complete cds
ON075821.1	ON075821.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate SXYC, complete genome
ON168795.1	ON168795.1	G2a	Porcine epidemic diarrhea virus strain CH-SD-LS1702-2017 spike protein gene, complete cds
ON417003.1	ON417003.1	G2a	Porcine epidemic diarrhea virus isolate JS2019-4 spike protein gene, complete cds
OP019344.1	OP019344.1	G2a	Porcine epidemic diarrhea virus isolate PEDV/CH/JC1/2021 spike protein (S) gene, partial cds
OP019355.1	OP019355.1	G2a	Porcine epidemic diarrhea virus isolate PEDV/CH/YF2/2021 spike protein (S) gene, partial cds
OP191700.1	OP191700.1	G2a	Porcine epidemic diarrhea virus strain PEDV GD/HZ/2016, complete genome
OP382083.1	OP382083.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-GX4/2021, complete genome
OP529824.1	OP529824.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate GS2019-109, complete genome
OP603897.1	OP603897.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-GX6/2021, complete genome
OP727263.1	OP727263.1	G2a	UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus strain LNct2a spike protein (S) gene, complete cds
OP784565.1	OP784565.1	G2a	Porcine epidemic diarrhea virus isolate PEDV HNCADA-2017, complete genome
OQ122102.1	OQ122102.1	G2a	Porcine epidemic diarrhea virus isolate JXYC/2021 spike protein (S) gene, complete cds
OQ122108.1	OQ122108.1	G2a	Porcine epidemic diarrhea virus isolate HNXY-2/2022 spike protein (S) gene, complete cds
OQ122109.1	OQ122109.1	G2a	Porcine epidemic diarrhea virus isolate HBQJ/2022 spike protein (S) gene, complete cds
OQ349201.1	OQ349201.1	G2a	Porcine epidemic diarrhea virus isolate SHdt3(2021), complete genome
OQ349204.1	OQ349204.1	G2a	Porcine epidemic diarrhea virus isolate FJ1312 spike protein (S) gene, complete cds
OQ349205.1	OQ349205.1	G2a	Porcine epidemic diarrhea virus isolate FJ1401 spike protein (S) gene, complete cds
OQ349206.1	OQ349206.1	G2a	Porcine epidemic diarrhea virus isolate FJ1402 spike protein (S) gene, complete cds
OQ349207.1	OQ349207.1	G2a	Porcine epidemic diarrhea virus isolate FJ1410 spike protein (S) gene, complete cds
OQ349208.1	OQ349208.1	G2a	Porcine epidemic diarrhea virus isolate FJ1516 spike protein (S) gene, complete cds
OQ349210.1	OQ349210.1	G2a	Porcine epidemic diarrhea virus isolate FJ1609 spike protein (S) gene, complete cds
OQ349211.1	OQ349211.1	G2a	Porcine epidemic diarrhea virus isolate FJ1617 spike protein (S) gene, complete cds
OQ349213.1	OQ349213.1	G2a	Porcine epidemic diarrhea virus isolate FJ1919 spike protein (S) gene, complete cds
OQ349215.1	OQ349215.1	G2a	Porcine epidemic diarrhea virus isolate FJ2006 spike protein (S) gene, complete cds
OQ349217.1	OQ349217.1	G2a	Porcine epidemic diarrhea virus isolate FJ170524 spike protein (S) gene, complete cds
OQ349224.1	OQ349224.1	G2a	Porcine epidemic diarrhea virus isolate SHdt3 spike protein (S) gene, complete cds
OQ718863.1	OQ718863.1	G2a	Porcine epidemic diarrhea virus isolate CH-HeN27-2023 spike protein gene, complete cds
OQ723792.1	OQ723792.1	G2a	Porcine epidemic diarrhea virus isolate PEDV CHGS20 spike protein gene, complete cds
OQ858592.1	OQ858592.1	G2a	Porcine epidemic diarrhea virus strain SD-LC, complete genome
OQ979201.1	OQ979201.1	G2a	Porcine epidemic diarrhea virus strain HNZK5, complete genome
OR085244.1	OR085244.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-HuN1-2023, complete genome
OR085281.1	OR085281.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-AHWH8-2022, complete genome
OR085282.1	OR085282.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-AHWH12-2022, complete genome
OR085283.1	OR085283.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-AHWH16-2022, complete genome
OR085284.1	OR085284.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-AHWH1-2022, complete genome
OR085285.1	OR085285.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-SXGL2-2022, complete genome
OR090885.1	OR090885.1	G2a	Porcine epidemic diarrhea virus isolate PEDV/CH/XK/2020, complete genome
OR090886.1	OR090886.1	G2a	Porcine epidemic diarrhea virus isolate PEDV/CH/XY/2020, complete genome
OR090887.1	OR090887.1	G2a	Porcine epidemic diarrhea virus isolate PEDV/CH/XU/2020, complete genome
OR090888.1	OR090888.1	G2a	Porcine epidemic diarrhea virus isolate PEDV/CH/XA/2020, complete genome
OR195029.1	OR195029.1	G2a	Porcine epidemic diarrhea virus strain HB2022-4 spike protein (S) gene, complete cds
OR365272.1	OR365272.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P30 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
OR365273.1	OR365273.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P60 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
OR365274.1	OR365274.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P90 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
OR365275.1	OR365275.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P120 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
OR365276.1	OR365276.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P30 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
OR365277.1	OR365277.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P60 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
OR365278.1	OR365278.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P90 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
OR365279.1	OR365279.1	G2a	Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P120 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
OR576822.1	OR576822.1	G2a	Porcine epidemic diarrhea virus isolate CH/JS321/2022 spike protein (S) gene, complete cds
OR596889.1	OR596889.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate YJH141-2015 genomic sequence
OR707084.1	OR707084.1	G2a	UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate HN2021, complete genome
OR722805.1	OR722805.1	G2a	Porcine epidemic diarrhea virus isolate CHN-HCHL-2021, complete genome
OR992086.1	OR992086.1	G2a	Porcine epidemic diarrhea virus isolate CH/FST-Y/2017 spike protein (S) gene, complete cds
OR992087.1	OR992087.1	G2a	Porcine epidemic diarrhea virus isolate CH/FST-S/2017 spike protein (S) gene, complete cds
PF141447.1	PF141447.1	G2a	KR 1020230109809-A/3: Attenuated Porcine Epidemic Diarrhea CKT-7N Virus and composition for Porcine Epidemic Diarrhea Vaccine comprising the same
PP395578.1	PP395578.1	G2a	Porcine epidemic diarrhea virus strain SC2021MY spike protein (S) gene, complete cds
PP395582.1	PP395582.1	G2a	Porcine epidemic diarrhea virus strain SC2021CD spike protein (S) gene, complete cds
PP395585.1	PP395585.1	G2a	Porcine epidemic diarrhea virus strain SC2022SN spike protein (S) gene, complete cds
PP395588.1	PP395588.1	G2a	Porcine epidemic diarrhea virus strain SC2022NJ spike protein (S) gene, complete cds
PP580806.1	PP580806.1	G2a	Porcine epidemic diarrhea virus isolate SD-RZ2023 spike protein (S) gene, complete cds
PP723329.1	PP723329.1	G2a	Porcine epidemic diarrhea virus isolate CH/Shanxi-G/2022 spike protein (S) gene, complete cds
PP906229.1	PP906229.1	G2a	Porcine epidemic diarrhea virus strain HB-HG spike protein gene, complete cds
PP923928.1	PP923928.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-KM-1404/China/2014/Yunnan spike protein-like gene, partial sequence
PP923931.1	PP923931.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-KM-1503/China/2015/Yunnan spike protein-like gene, partial sequence
PP923932.1	PP923932.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-QJ-1507/China/2015/Yunnan spike protein-like gene, partial sequence
PP998009.1	PP998009.1	G2a	Porcine epidemic diarrhea virus isolate GX4/2023, complete genome
PQ124000.1	PQ124000.1	G2a	Porcine epidemic diarrhea virus strain SCABTC-PEDV-HH S protein gene, complete cds
PQ284568.1	PQ284568.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNLY-2022 spike protein (S) gene, complete cds
PQ284569.1	PQ284569.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNNY-2022 spike protein (S) gene, complete cds
PQ284570.1	PQ284570.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNXC-2022 spike protein (S) gene, complete cds
PV036770.1	PV036770.1	G2a	Porcine epidemic diarrhea virus isolate HLJ1, complete genome
PV036771.1	PV036771.1	G2a	Porcine epidemic diarrhea virus isolate HLJ2, complete genome
PV164722.1	PV164722.1	G2a	Porcine epidemic diarrhea virus isolate PEDV ZJ22QZ0501 spike protein (S) gene, complete cds
PV164727.1	PV164727.1	G2a	Porcine epidemic diarrhea virus isolate PEDV ZJ23SX0401-01 spike protein (S) gene, complete cds
PV167808.1	PV167808.1	G2a	Porcine epidemic diarrhea virus isolate FJPT-07 spike protein (S) gene, complete cds
PV167809.1	PV167809.1	G2a	Porcine epidemic diarrhea virus isolate FJPT-08 spike protein (S) gene, complete cds
PV167810.1	PV167810.1	G2a	Porcine epidemic diarrhea virus isolate FJPT-09 spike protein (S) gene, complete cds
PV167811.1	PV167811.1	G2a	Porcine epidemic diarrhea virus isolate FJPT-10 spike protein (S) gene, complete cds
PV449162.1	PV449162.1	G2a	Porcine epidemic diarrhea virus isolate CH/HLJ-22, complete genome
PV523943.1	PV523943.1	G2a	Porcine epidemic diarrhea virus isolate AH02-10-CN_2021 spike protein (S) gene, complete cds
PV523944.1	PV523944.1	G2a	Porcine epidemic diarrhea virus isolate AH03-05-CN_2022 spike protein (S) gene, complete cds
PV523945.1	PV523945.1	G2a	Porcine epidemic diarrhea virus isolate AH04-12-CN_2021 spike protein (S) gene, complete cds
PV523946.1	PV523946.1	G2a	Porcine epidemic diarrhea virus isolate GX01-02-CN_2022 spike protein (S) gene, complete cds
PV523947.1	PV523947.1	G2a	Porcine epidemic diarrhea virus isolate GX02-04-CN_2022 spike protein (S) gene, complete cds
PV523948.1	PV523948.1	G2a	Porcine epidemic diarrhea virus isolate GX05-11-CN_2022 spike protein (S) gene, complete cds
PV523949.1	PV523949.1	G2a	Porcine epidemic diarrhea virus isolate HeB01-05-CN_2022 spike protein (S) gene, complete cds
PV523950.1	PV523950.1	G2a	Porcine epidemic diarrhea virus isolate HLJ01-05-CN-2024 spike protein (S) gene, complete cds
PV523951.1	PV523951.1	G2a	Porcine epidemic diarrhea virus isolate HLJ01-12-CN_2021 spike protein (S) gene, complete cds
PV523952.1	PV523952.1	G2a	Porcine epidemic diarrhea virus isolate HuB03-07-CN_2021 spike protein (S) gene, complete cds
PV523953.1	PV523953.1	G2a	Porcine epidemic diarrhea virus isolate SD03-11-CN_2021 spike protein (S) gene, complete cds
PV523954.1	PV523954.1	G2a	Porcine epidemic diarrhea virus isolate SD04-12-CN_2021 spike protein (S) gene, complete cds
PV523955.1	PV523955.1	G2a	Porcine epidemic diarrhea virus isolate ZJ01-01-CN_2022 spike protein (S) gene, complete cds
PV523956.1	PV523956.1	G2a	Porcine epidemic diarrhea virus isolate ZJ04-03-CN_2022 spike protein (S) gene, complete cds
PV536108.1	PV536108.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-SXDD1-2023, partial genome
PV536109.1	PV536109.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-SXDD4-2023, partial genome
PV536110.1	PV536110.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-XJCZ16-2024, partial genome
PV536111.1	PV536111.1	G2a	UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-XJCZ24-2024, partial genome
PV609798.1	PV609798.1	G2a	Porcine epidemic diarrhea virus isolate PEDV GY2401 spike protein (S) gene, complete cds
PV890949.1	PV890949.1	G2a	Porcine epidemic diarrhea virus isolate YN-KM 202505 spike protein gene, complete cds
PX475711.1	PX475711.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-HeiHo-2024, complete genome
PX619215.1	PX619215.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate SHB/2025-02 genomic sequence
PX652412.1	PX652412.1	G2a	Porcine epidemic diarrhea virus strain WH2 spike protein (S) gene, complete cds
AB857234.1	AB857234.1	G2b	Porcine epidemic diarrhea virus S gene for spike protein, complete cds, strain: GDS02
JN980698.1	JN980698.1	G2b	Porcine epidemic diarrhea virus isolate CHGD-01 spike protein (S) gene, complete cds
JQ239429.1	JQ239429.1	G2b	Porcine epidemic diarrhea virus strain CH1 spike protein (S) gene, complete cds
JQ638915.1	JQ638915.1	G2b	Porcine epidemic diarrhea virus strain CH/GD/2011 spike glycoprotein S2 (S) gene, complete cds
JQ638918.1	JQ638918.1	G2b	Porcine epidemic diarrhea virus strain CH/HBBD/2011 spike glycoprotein S2 (S) gene, complete cds
JX018179.1	JX018179.1	G2b	Porcine epidemic diarrhea virus isolate CH/GXNN/2012 spike protein gene, complete cds
JX145339.1	JX145339.1	G2b	Porcine epidemic diarrhea virus strain CH-GDHY-2011 spike protein mRNA, complete cds
JX188454.1	JX188454.1	G2b	Porcine epidemic diarrhea virus strain AJ1102, complete genome
JX242454.1	JX242454.1	G2b	Porcine epidemic diarrhea virus isolate CH-HYC-08-2011 spike protein gene, partial cds
JX242455.1	JX242455.1	G2b	Porcine epidemic diarrhea virus isolate CH-HYC-10-2011 spike protein gene, partial cds
JX242456.1	JX242456.1	G2b	Porcine epidemic diarrhea virus isolate CH-HYC-11-2011 spike protein gene, partial cds
JX242457.1	JX242457.1	G2b	Porcine epidemic diarrhea virus isolate CH-HYC-12-2011 spike protein gene, partial cds
JX242458.1	JX242458.1	G2b	Porcine epidemic diarrhea virus isolate CH-LC-10-2011 spike protein gene, partial cds
JX242460.1	JX242460.1	G2b	Porcine epidemic diarrhea virus isolate CH-YHC-12-2011 spike protein gene, partial cds
JX242463.1	JX242463.1	G2b	Porcine epidemic diarrhea virus isolate CH-LC-12-2011 spike protein gene, partial cds
JX261936.1	JX261936.1	G2b	Porcine epidemic diarrhea virus strain CHGD-01, complete genome
JX489155.1	JX489155.1	G2b	Porcine epidemic diarrhea virus strain LC, complete genome
JX647847.1	JX647847.1	G2b	Porcine epidemic diarrhea virus strain GD-1, complete genome
KC787536.1	KC787536.1	G2b	Porcine epidemic diarrhea virus isolate CH-CCC-01-2013 spike protein gene, partial cds
KF384500.1	KF384500.1	G2b	Porcine epidemic diarrhea virus strain CH/GDGZ/2012, complete genome
KF601197.1	KF601197.1	G2b	Porcine epidemic diarrhea virus isolate HNCZ/2013 spike protein (S) gene, complete cds
KF601199.1	KF601199.1	G2b	Porcine epidemic diarrhea virus isolate GXHZ/2013 spike protein (S) gene, complete cds
KM089829.1	KM089829.1	G2b	Porcine epidemic diarrhea virus strain GDS01, complete genome
KM225247.1	KM225247.1	G2b	Porcine epidemic diarrhea virus strain YN4-15 spike protein (S) gene, complete cds
KM225248.1	KM225248.1	G2b	Porcine epidemic diarrhea virus strain YN4-30 spike protein (S) gene, complete cds
KM225249.1	KM225249.1	G2b	Porcine epidemic diarrhea virus strain YN4-60 spike protein (S) gene, complete cds
KM225250.1	KM225250.1	G2b	Porcine epidemic diarrhea virus strain YN4-90 spike protein (S) gene, complete cds
KM225251.1	KM225251.1	G2b	Porcine epidemic diarrhea virus strain YN4-120 spike protein (S) gene, complete cds
KM225252.1	KM225252.1	G2b	Porcine epidemic diarrhea virus strain YN4-144 spike protein (S) gene, complete cds
KM609204.1	KM609204.1	G2b	Porcine epidemic diarrhea virus strain PEDV-7C, complete genome
KP399607.1	KP399607.1	G2b	Porcine epidemic diarrhea virus strain CH-SCC-05-2014 S protein (S) gene, complete cds
KP399616.1	KP399616.1	G2b	Porcine epidemic diarrhea virus strain CH-TPC-03-2013 S protein (S) gene, complete cds
KP399619.1	KP399619.1	G2b	Porcine epidemic diarrhea virus strain CH-SHC-12-2013 S protein (S) gene, complete cds
KP399621.1	KP399621.1	G2b	Porcine epidemic diarrhea virus strain CH-QTC-11-2013 S protein (S) gene, complete cds
KP399624.1	KP399624.1	G2b	Porcine epidemic diarrhea virus strain CH-HGCP-12-2013 S protein (S) gene, complete cds
KP399628.1	KP399628.1	G2b	Porcine epidemic diarrhea virus strain CH-CCC-05-2013 S protein (S) gene, complete cds
KP698767.1	KP698767.1	G2b	Porcine epidemic diarrhea virus isolate GD17 spike gene, complete cds
KP765609.1	KP765609.1	G2b	Porcine epidemic diarrhea virus strain FL2013, complete genome
KP870115.1	KP870115.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD-03/2012 spike protein (S) gene, complete cds
KP870119.1	KP870119.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD-07/2012 spike protein (S) gene, complete cds
KP870129.1	KP870129.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD-19/2013 spike protein (S) gene, complete cds
KP870130.1	KP870130.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD-20/2013 spike protein (S) gene, complete cds
KP870139.1	KP870139.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD-29/2014 spike protein (S) gene, complete cds
KT021228.1	KT021228.1	G2b	Porcine epidemic diarrhea virus strain YN15, complete genome
KT021229.1	KT021229.1	G2b	Porcine epidemic diarrhea virus strain YN30, complete genome
KT021230.1	KT021230.1	G2b	Porcine epidemic diarrhea virus strain YN60, complete genome
KT021231.1	KT021231.1	G2b	Porcine epidemic diarrhea virus strain YN90, complete genome
KT021233.1	KT021233.1	G2b	Porcine epidemic diarrhea virus strain YN200, complete genome
KT388421.1	KT388421.1	G2b	Porcine epidemic diarrhea virus isolate CH-CCC-2013 spike glycoprotein gene, complete cds
KT989354.1	KT989354.1	G2b	Porcine epidemic diarrhea virus isolate CH-HNKF-14.7 spike protein gene, complete cds
KT989357.1	KT989357.1	G2b	Porcine epidemic diarrhea virus isolate CH-HNLY-15.4 spike protein gene, complete cds
KU133254.1	KU133254.1	G2b	Porcine epidemic diarrhea virus isolate CH-SDLY-2-2014 spike protein (S) gene, complete cds
