accession	description	source_file	line_no	clade	source_header	raw_date	reason
MK532988.1	Porcine epidemic diarrhea virus strain B8-HB2017 spike protein (S) gene, complete cds	G2achinanew.txt	324	G2a	MK532988.1|B8-HB2017|17-Feb-2017|China	17-Feb-2017	missing_or_unparseable_date
MK533002.1	Porcine epidemic diarrhea virus strain N1-GD2017 spike protein (S) gene, complete cds	G2achinanew.txt	34	G2a	MK533002.1|N1-GD2017|13-Nov-2017|China	13-Nov-2017	missing_or_unparseable_date
MK533004.1	Porcine epidemic diarrhea virus strain N13-GD2017 spike protein (S) gene, complete cds	G2achinanew.txt	130	G2a	MK533004.1|N13-GD2017|13-Nov-2017|China	13-Nov-2017	missing_or_unparseable_date
MK606368.1	Porcine epidemic diarrhea virus isolate CH-HB1-2018, complete genome	G2achinanew.txt	635	G2a	MK606368.1|CH-HB1-2018|24-Jun-2018|China	24-Jun-2018	missing_or_unparseable_date
MK644604.1	Porcine epidemic diarrhea virus isolate N7-GD2017, complete genome	G2achinanew.txt	355	G2a	MK644604.1|N7-GD2017|13-Nov-2017|China	13-Nov-2017	missing_or_unparseable_date
MK656504.1	Porcine epidemic diarrhea virus strain JN1806-23 S protein gene, partial cds	G2achinanew.txt	253	G2a	MK656504.1|JN1806-23|15-Jun-2018|China	15-Jun-2018	missing_or_unparseable_date
MK656508.1	Porcine epidemic diarrhea virus strain QD1803-2 S protein gene, partial cds	G2achinanew.txt	342	G2a	MK656508.1|QD1803-2|03-Mar-2018|China	03-Mar-2018	missing_or_unparseable_date
MK656509.1	Porcine epidemic diarrhea virus strain QD1803-5 S protein gene, partial cds	G2achinanew.txt	103	G2a	MK656509.1|QD1803-5|03-Mar-2018|China	03-Mar-2018	missing_or_unparseable_date
MK656510.1	Porcine epidemic diarrhea virus strain QD1804-9 S protein gene, partial cds	G2achinanew.txt	665	G2a	MK656510.1|QD1804-9|05-Apr-2018|China	05-Apr-2018	missing_or_unparseable_date
MK656511.1	Porcine epidemic diarrhea virus strain QD1807-65 S protein gene, partial cds	G2achinanew.txt	63	G2a	MK656511.1|QD1807-65|02-Jun-2018|China	02-Jun-2018	missing_or_unparseable_date
MK656512.1	Porcine epidemic diarrhea virus strain QD1807-67 S protein gene, partial cds	G2achinanew.txt	26	G2a	MK656512.1|QD1807-67|22-Jul-2018|China	22-Jul-2018	missing_or_unparseable_date
MK656513.1	Porcine epidemic diarrhea virus strain QD1807-68 S protein gene, partial cds	G2achinanew.txt	672	G2a	MK656513.1|QD1807-68|23-Jul-2018|China	23-Jul-2018	missing_or_unparseable_date
MN368662.1	Porcine epidemic diarrhea virus isolate JXyc15 spike protein (S) gene, complete cds	G2achinanew.txt	217	G2a	MN368662.1|JXyc15|NA|China	N/A	missing_or_unparseable_date
MN368663.1	Porcine epidemic diarrhea virus isolate FJly15 spike protein (S) gene, complete cds	G2achinanew.txt	624	G2a	MN368663.1|FJly15|NA|China	N/A	missing_or_unparseable_date
MN368664.1	Porcine epidemic diarrhea virus isolate FJqz15 spike protein (S) gene, complete cds	G2achinanew.txt	723	G2a	MN368664.1|FJqz15|NA|China	N/A	missing_or_unparseable_date
MN368666.1	Porcine epidemic diarrhea virus isolate GDgz15-1 spike protein (S) gene, complete cds	G2achinanew.txt	77	G2a	MN368666.1|GDgz15-1|NA|China	N/A	missing_or_unparseable_date
MN368667.1	Porcine epidemic diarrhea virus isolate GDgz15-2 spike protein (S) gene, complete cds	G2achinanew.txt	437	G2a	MN368667.1|GDgz15-2|NA|China	N/A	missing_or_unparseable_date
MN368671.1	Porcine epidemic diarrhea virus isolate GDmm15 spike protein (S) gene, complete cds	G2achinanew.txt	517	G2a	MN368671.1|GDmm15|NA|China	N/A	missing_or_unparseable_date
MN368673.1	Porcine epidemic diarrhea virus isolate GDsg15-2 spike protein (S) gene, complete cds	G2achinanew.txt	680	G2a	MN368673.1|GDsg15-2|NA|China	N/A	missing_or_unparseable_date
MN368674.1	Porcine epidemic diarrhea virus isolate GDsg15-3 spike protein (S) gene, complete cds	G2achinanew.txt	112	G2a	MN368674.1|GDsg15-3|NA|China	N/A	missing_or_unparseable_date
MN368675.1	Porcine epidemic diarrhea virus isolate GDzq15-1 spike protein (S) gene, complete cds	G2achinanew.txt	275	G2a	MN368675.1|GDzq15-1|NA|China	N/A	missing_or_unparseable_date
MN368676.1	Porcine epidemic diarrhea virus isolate GDzq15-2 spike protein (S) gene, complete cds	G2achinanew.txt	436	G2a	MN368676.1|GDzq15-2|NA|China	N/A	missing_or_unparseable_date
MN368680.1	Porcine epidemic diarrhea virus isolate HBhg15 spike protein (S) gene, complete cds	G2achinanew.txt	104	G2a	MN368680.1|HBhg15|NA|China	N/A	missing_or_unparseable_date
MN368688.1	Porcine epidemic diarrhea virus isolate GDjm16-2 spike protein (S) gene, complete cds	G2achinanew.txt	28	G2a	MN368688.1|GDjm16-2|NA|China	N/A	missing_or_unparseable_date
MN368694.1	Porcine epidemic diarrhea virus isolate SCmy17 spike protein (S) gene, complete cds	G2achinanew.txt	456	G2a	MN368694.1|SCmy17|NA|China	N/A	missing_or_unparseable_date
MN368696.1	Porcine epidemic diarrhea virus isolate FJfz17-2 spike protein (S) gene, complete cds	G2achinanew.txt	18	G2a	MN368696.1|FJfz17-2|NA|China	N/A	missing_or_unparseable_date
MN368697.1	Porcine epidemic diarrhea virus isolate FJqz17-1 spike protein (S) gene, complete cds	G2achinanew.txt	408	G2a	MN368697.1|FJqz17-1|NA|China	N/A	missing_or_unparseable_date
MN368706.1	Porcine epidemic diarrhea virus isolate GDsg17 spike protein (S) gene, complete cds	G2achinanew.txt	48	G2a	MN368706.1|GDsg17|NA|China	N/A	missing_or_unparseable_date
MN368710.1	Porcine epidemic diarrhea virus isolate FJfz18-1 spike protein (S) gene, complete cds	G2achinanew.txt	56	G2a	MN368710.1|FJfz18-1|NA|China	N/A	missing_or_unparseable_date
MN368724.1	Porcine epidemic diarrhea virus isolate GDzj18-1 spike protein (S) gene, complete cds	G2achinanew.txt	266	G2a	MN368724.1|GDzj18-1|NA|China	N/A	missing_or_unparseable_date
MN594506.1	UNVERIFIED: Porcine epidemic diarrhea virus strain SX-WH, complete genome	G2achinanew.txt	561	G2a	MN594506.1|SX-WH|27-Mar-2018|China	27-Mar-2018	missing_or_unparseable_date
MN612069.1	Porcine epidemic diarrhea virus strain CH-MDJ-NA03 spike protein gene, complete cds	G2achinanew.txt	254	G2a	MN612069.1|CH-MDJ-NA03|22-Aug-2019|China	22-Aug-2019	missing_or_unparseable_date
MN612070.1	Porcine epidemic diarrhea virus strain CH-AH-HX122 spike protein gene, complete cds	G2achinanew.txt	151	G2a	MN612070.1|CH-AH-HX122|23-Jun-2018|China	23-Jun-2018	missing_or_unparseable_date
MN612071.1	Porcine epidemic diarrhea virus strain CH-SX-CZ01 spike protein gene, complete cds	G2achinanew.txt	121	G2a	MN612071.1|CH-SX-CZ01|25-Mar-2018|China	25-Mar-2018	missing_or_unparseable_date
MN612072.1	Porcine epidemic diarrhea virus strain CH-HeB-XT01 spike protein gene, complete cds	G2achinanew.txt	276	G2a	MN612072.1|CH-HeB-XT01|28-Jul-2019|China	28-Jul-2019	missing_or_unparseable_date
MN612073.1	Porcine epidemic diarrhea virus strain CH-SD-WF01 spike protein gene, complete cds	G2achinanew.txt	202	G2a	MN612073.1|CH-SD-WF01|15-Sep-2018|China	15-Sep-2018	missing_or_unparseable_date
MN612074.1	Porcine epidemic diarrhea virus strain CH-HuN-SY01 spike protein gene, complete cds	G2achinanew.txt	376	G2a	MN612074.1|CH-HuN-SY01|15-Feb-2019|China	15-Feb-2019	missing_or_unparseable_date
MN612075.1	Porcine epidemic diarrhea virus strain CH-FJ-SM01 spike protein gene, complete cds	G2achinanew.txt	661	G2a	MN612075.1|CH-FJ-SM01|30-Jan-2018|China	30-Jan-2018	missing_or_unparseable_date
MN612076.1	Porcine epidemic diarrhea virus strain CH-GD-ZQ01 spike protein gene, complete cds	G2achinanew.txt	598	G2a	MN612076.1|CH-GD-ZQ01|30-Mar-2019|China	30-Mar-2019	missing_or_unparseable_date
MN612077.1	Porcine epidemic diarrhea virus strain CH-HuB-YC01 spike protein gene, complete cds	G2achinanew.txt	347	G2a	MN612077.1|CH-HuB-YC01|30-May-2018|China	30-May-2018	missing_or_unparseable_date
MN617863.1	Porcine epidemic diarrhea virus isolate CH/SCGY-1/2018 spike protein (S) gene, complete cds	G2achinanew.txt	51	G2a	MN617863.1|CH/SCGY-1/2018|26-Apr-2018|China	26-Apr-2018	missing_or_unparseable_date
MN721360.1	Porcine epidemic diarrhea virus isolate CH-SX-YCDZ spike protein gene, complete cds	G2achinanew.txt	303	G2a	MN721360.1|CH-SX-YCDZ|23-Sep-2015|China	23-Sep-2015	missing_or_unparseable_date
MN721361.1	Porcine epidemic diarrhea virus isolate CH-Tibet-SN22 spike protein gene, complete cds	G2achinanew.txt	434	G2a	MN721361.1|CH-Tibet-SN22|25-Mar-2014|China	25-Mar-2014	missing_or_unparseable_date
MN721362.1	Porcine epidemic diarrhea virus isolate CH-SX-YL6567 spike protein gene, complete cds	G2achinanew.txt	334	G2a	MN721362.1|CH-SX-YL6567|08-Mar-2016|China	08-Mar-2016	missing_or_unparseable_date
MN721363.1	Porcine epidemic diarrhea virus isolate CH-GS-TS01 spike protein gene, complete cds	G2achinanew.txt	52	G2a	MN721363.1|CH-GS-TS01|10-Sep-2014|China	10-Sep-2014	missing_or_unparseable_date
MN721365.1	Porcine epidemic diarrhea virus isolate CH-GZ-GY254 spike protein gene, complete cds	G2achinanew.txt	206	G2a	MN721365.1|CH-GZ-GY254|30-Sep-2016|China	30-Sep-2016	missing_or_unparseable_date
MN721366.1	Porcine epidemic diarrhea virus isolate CH-NX-WZ spike protein gene, complete cds	G2achinanew.txt	713	G2a	MN721366.1|CH-NX-WZ|30-Jan-2017|China	30-Jan-2017	missing_or_unparseable_date
MN721367.1	Porcine epidemic diarrhea virus isolate CH-SC-DY01 spike protein gene, complete cds	G2achinanew.txt	429	G2a	MN721367.1|CH-SC-DY01|30-Dec-2015|China	30-Dec-2015	missing_or_unparseable_date
MN721368.1	Porcine epidemic diarrhea virus isolate CH-SX-YL27 spike protein gene, complete cds	G2achinanew.txt	423	G2a	MN721368.1|CH-SX-YL27|08-Nov-2014|China	08-Nov-2014	missing_or_unparseable_date
MN721369.1	Porcine epidemic diarrhea virus isolate CH-JL-BS7 spike protein gene, complete cds	G2achinanew.txt	500	G2a	MN721369.1|CH-JL-BS7|30-Oct-2016|China	30-Oct-2016	missing_or_unparseable_date
MN721371.1	Porcine epidemic diarrhea virus isolate CH-LN-TL01 spike protein gene, complete cds	G2achinanew.txt	558	G2a	MN721371.1|CH-LN-TL01|22-Feb-2016|China	22-Feb-2016	missing_or_unparseable_date
MN721372.1	Porcine epidemic diarrhea virus isolate CH-LN-CY27 spike protein gene, complete cds	G2achinanew.txt	591	G2a	MN721372.1|CH-LN-CY27|01-May-2015|China	01-May-2015	missing_or_unparseable_date
MN721373.1	Porcine epidemic diarrhea virus isolate CH-GX-GG27 spike protein gene, complete cds	G2achinanew.txt	391	G2a	MN721373.1|CH-GX-GG27|11-Jan-2017|China	11-Jan-2017	missing_or_unparseable_date
MN893417.1	Porcine epidemic diarrhea virus isolate CH-HNSMX-2016 spike glycoprotein gene, complete cds	G2achinanew.txt	564	G2a	MN893417.1|CH-HNSMX-2016|01-Sep-2016|China	01-Sep-2016	missing_or_unparseable_date
MN893424.1	Porcine epidemic diarrhea virus isolate CH-HNZK-3-2018 spike glycoprotein gene, complete cds	G2achinanew.txt	122	G2a	MN893424.1|CH-HNZK-3-2018|01-Jan-2018|China	01-Jan-2018	missing_or_unparseable_date
MN893427.1	Porcine epidemic diarrhea virus isolate CH-HNZZ-2017 spike glycoprotein gene, complete cds	G2achinanew.txt	540	G2a	MN893427.1|CH-HNZZ-2017|01-Oct-2017|China	01-Oct-2017	missing_or_unparseable_date
MW762534.1	Porcine epidemic diarrhea virus isolate GXNN, complete genome	G2achinanew.txt	401	G2a	MW762534.1|GXNN|08-Dec-2020|China	08-Dec-2020	missing_or_unparseable_date
ON168795.1	Porcine epidemic diarrhea virus strain CH-SD-LS1702-2017 spike protein gene, complete cds	G2achinanew.txt	323	G2a	ON168795.1|CH-SD-LS1702-2017|02-Feb-2017|China	02-Feb-2017	missing_or_unparseable_date
OP019344.1	Porcine epidemic diarrhea virus isolate PEDV/CH/JC1/2021 spike protein (S) gene, partial cds	G2achinanew.txt	338	G2a	OP019344.1|PEDV/CH/JC1/2021|14-May-2021|China	14-May-2021	missing_or_unparseable_date
OP019355.1	Porcine epidemic diarrhea virus isolate PEDV/CH/YF2/2021 spike protein (S) gene, partial cds	G2achinanew.txt	384	G2a	OP019355.1|PEDV/CH/YF2/2021|09-Jun-2021|China	09-Jun-2021	missing_or_unparseable_date
OP382083.1	Porcine epidemic diarrhea virus isolate PEDV-GX4/2021, complete genome	G2achinanew.txt	337	G2a	OP382083.1|PEDV-GX4/2021|10-Feb-2021|China	10-Feb-2021	missing_or_unparseable_date
OP603897.1	Porcine epidemic diarrhea virus isolate PEDV-GX6/2021, complete genome	G2achinanew.txt	67	G2a	OP603897.1|PEDV-GX6/2021|20-May-2022|China	20-May-2022	missing_or_unparseable_date
OQ122102.1	Porcine epidemic diarrhea virus isolate JXYC/2021 spike protein (S) gene, complete cds	G2achinanew.txt	162	G2a	OQ122102.1|JXYC/2021|15-Dec-2021|China	15-Dec-2021	missing_or_unparseable_date
OQ122108.1	Porcine epidemic diarrhea virus isolate HNXY-2/2022 spike protein (S) gene, complete cds	G2achinanew.txt	316	G2a	OQ122108.1|HNXY-2/2022|16-Mar-2022|China	16-Mar-2022	missing_or_unparseable_date
OQ122109.1	Porcine epidemic diarrhea virus isolate HBQJ/2022 spike protein (S) gene, complete cds	G2achinanew.txt	609	G2a	OQ122109.1|HBQJ/2022|16-Mar-2022|China	16-Mar-2022	missing_or_unparseable_date
OQ718863.1	Porcine epidemic diarrhea virus isolate CH-HeN27-2023 spike protein gene, complete cds	G2achinanew.txt	599	G2a	OQ718863.1|CH-HeN27-2023|15-Jan-2023|China	15-Jan-2023	missing_or_unparseable_date
OQ723792.1	Porcine epidemic diarrhea virus isolate PEDV CHGS20 spike protein gene, complete cds	G2achinanew.txt	274	G2a	OQ723792.1|PEDV_CHGS20|21-Jul-2020|China	21-Jul-2020	missing_or_unparseable_date
PP395578.1	Porcine epidemic diarrhea virus strain SC2021MY spike protein (S) gene, complete cds	G2achinanew.txt	185	G2a	PP395578.1|SC2021MY|05-Feb-2021|China	05-Feb-2021	missing_or_unparseable_date
PP395582.1	Porcine epidemic diarrhea virus strain SC2021CD spike protein (S) gene, complete cds	G2achinanew.txt	432	G2a	PP395582.1|SC2021CD|08-Dec-2021|China	08-Dec-2021	missing_or_unparseable_date
PP395585.1	Porcine epidemic diarrhea virus strain SC2022SN spike protein (S) gene, complete cds	G2achinanew.txt	489	G2a	PP395585.1|SC2022SN|27-Feb-2022|China	27-Feb-2022	missing_or_unparseable_date
PP395588.1	Porcine epidemic diarrhea virus strain SC2022NJ spike protein (S) gene, complete cds	G2achinanew.txt	694	G2a	PP395588.1|SC2022NJ|23-Sep-2022|China	23-Sep-2022	missing_or_unparseable_date
PQ124000.1	Porcine epidemic diarrhea virus strain SCABTC-PEDV-HH S protein gene, complete cds	G2achinanew.txt	666	G2a	PQ124000.1|SCABTC-PEDV-HH|17-Sep-2023|China	17-Sep-2023	missing_or_unparseable_date
PV164722.1	Porcine epidemic diarrhea virus isolate PEDV ZJ22QZ0501 spike protein (S) gene, complete cds	G2achinanew.txt	536	G2a	PV164722.1|PEDV_ZJ22QZ0501|17-May-2022|China	17-May-2022	missing_or_unparseable_date
PV164727.1	Porcine epidemic diarrhea virus isolate PEDV ZJ23SX0401-01 spike protein (S) gene, complete cds	G2achinanew.txt	270	G2a	PV164727.1|PEDV_ZJ23SX0401-01|26-Apr-2023|China	26-Apr-2023	missing_or_unparseable_date
PV167808.1	Porcine epidemic diarrhea virus isolate FJPT-07 spike protein (S) gene, complete cds	G2achinanew.txt	469	G2a	PV167808.1|FJPT-07|04-Dec-2024|China	04-Dec-2024	missing_or_unparseable_date
PV167809.1	Porcine epidemic diarrhea virus isolate FJPT-08 spike protein (S) gene, complete cds	G2achinanew.txt	459	G2a	PV167809.1|FJPT-08|04-Dec-2024|China	04-Dec-2024	missing_or_unparseable_date
PV167810.1	Porcine epidemic diarrhea virus isolate FJPT-09 spike protein (S) gene, complete cds	G2achinanew.txt	438	G2a	PV167810.1|FJPT-09|04-Dec-2024|China	04-Dec-2024	missing_or_unparseable_date
PV167811.1	Porcine epidemic diarrhea virus isolate FJPT-10 spike protein (S) gene, complete cds	G2achinanew.txt	267	G2a	PV167811.1|FJPT-10|04-Dec-2024|China	04-Dec-2024	missing_or_unparseable_date
PV536108.1	Porcine epidemic diarrhea virus isolate PEDV-SXDD1-2023, partial genome	G2achinanew.txt	681	G2a	PV536108.1|PEDV-SXDD1-2023|14-Apr-2023|China	14-Apr-2023	missing_or_unparseable_date
PV536109.1	Porcine epidemic diarrhea virus isolate PEDV-SXDD4-2023, partial genome	G2achinanew.txt	455	G2a	PV536109.1|PEDV-SXDD4-2023|14-Apr-2023|China	14-Apr-2023	missing_or_unparseable_date
PV536110.1	Porcine epidemic diarrhea virus isolate PEDV-XJCZ16-2024, partial genome	G2achinanew.txt	302	G2a	PV536110.1|PEDV-XJCZ16-2024|24-Apr-2024|China	24-Apr-2024	missing_or_unparseable_date
PV536111.1	UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-XJCZ24-2024, partial genome	G2achinanew.txt	583	G2a	PV536111.1|PEDV-XJCZ24-2024|24-Apr-2024|China	24-Apr-2024	missing_or_unparseable_date
PX619215.1	UNVERIFIED: Porcine epidemic diarrhea virus isolate SHB/2025-02 genomic sequence	G2achinanew.txt	300	G2a	PX619215.1|SHB/2025-02|03-Oct-2024|China	03-Oct-2024	missing_or_unparseable_date
JN980698.1	Porcine epidemic diarrhea virus isolate CHGD-01 spike protein (S) gene, complete cds	G2bchinanew.txt	73	G2b	JN980698.1|CHGD-01|10-Feb-2011|China	10-Feb-2011	missing_or_unparseable_date
JX261936.1	Porcine epidemic diarrhea virus strain CHGD-01, complete genome	G2bchinanew.txt	99	G2b	JX261936.1|CHGD-01|10-Feb-2011|China	10-Feb-2011	missing_or_unparseable_date
KF601197.1	Porcine epidemic diarrhea virus isolate HNCZ/2013 spike protein (S) gene, complete cds	G2bchinanew.txt	81	G2b	KF601197.1|HNCZ/2013|18-Apr-2013|China	18-Apr-2013	missing_or_unparseable_date
KF601199.1	Porcine epidemic diarrhea virus isolate GXHZ/2013 spike protein (S) gene, complete cds	G2bchinanew.txt	82	G2b	KF601199.1|GXHZ/2013|18-Apr-2013|China	18-Apr-2013	missing_or_unparseable_date
KM089829.1	Porcine epidemic diarrhea virus strain GDS01, complete genome	G2bchinanew.txt	115	G2b	KM089829.1|GDS01|10-Nov-2012|China	10-Nov-2012	missing_or_unparseable_date
KM225247.1	Porcine epidemic diarrhea virus strain YN4-15 spike protein (S) gene, complete cds	G2bchinanew.txt	7	G2b	KM225247.1|YN4-15|21-Aug-2012|China	21-Aug-2012	missing_or_unparseable_date
KM225248.1	Porcine epidemic diarrhea virus strain YN4-30 spike protein (S) gene, complete cds	G2bchinanew.txt	8	G2b	KM225248.1|YN4-30|21-Aug-2012|China	21-Aug-2012	missing_or_unparseable_date
KM225249.1	Porcine epidemic diarrhea virus strain YN4-60 spike protein (S) gene, complete cds	G2bchinanew.txt	13	G2b	KM225249.1|YN4-60|21-Aug-2012|China	21-Aug-2012	missing_or_unparseable_date
KM225250.1	Porcine epidemic diarrhea virus strain YN4-90 spike protein (S) gene, complete cds	G2bchinanew.txt	14	G2b	KM225250.1|YN4-90|21-Aug-2012|China	21-Aug-2012	missing_or_unparseable_date
KM225251.1	Porcine epidemic diarrhea virus strain YN4-120 spike protein (S) gene, complete cds	G2bchinanew.txt	17	G2b	KM225251.1|YN4-120|21-Aug-2012|China	21-Aug-2012	missing_or_unparseable_date
KM225252.1	Porcine epidemic diarrhea virus strain YN4-144 spike protein (S) gene, complete cds	G2bchinanew.txt	18	G2b	KM225252.1|YN4-144|21-Aug-2012|China	21-Aug-2012	missing_or_unparseable_date
KT021228.1	Porcine epidemic diarrhea virus strain YN15, complete genome	G2bchinanew.txt	6	G2b	KT021228.1|YN15|05-Oct-2013|China	05-Oct-2013	missing_or_unparseable_date
KT021229.1	Porcine epidemic diarrhea virus strain YN30, complete genome	G2bchinanew.txt	10	G2b	KT021229.1|YN30|08-Nov-2013|China	08-Nov-2013	missing_or_unparseable_date
KT021230.1	Porcine epidemic diarrhea virus strain YN60, complete genome	G2bchinanew.txt	11	G2b	KT021230.1|YN60|05-Feb-2014|China	05-Feb-2014	missing_or_unparseable_date
KT021231.1	Porcine epidemic diarrhea virus strain YN90, complete genome	G2bchinanew.txt	12	G2b	KT021231.1|YN90|10-May-2014|China	10-May-2014	missing_or_unparseable_date
KT021233.1	Porcine epidemic diarrhea virus strain YN200, complete genome	G2bchinanew.txt	15	G2b	KT021233.1|YN200|11-Nov-2014|China	11-Nov-2014	missing_or_unparseable_date
KT388421.1	Porcine epidemic diarrhea virus isolate CH-CCC-2013 spike glycoprotein gene, complete cds	G2bchinanew.txt	25	G2b	KT388421.1|CH-CCC-2013|18-Dec-2013|China	18-Dec-2013	missing_or_unparseable_date
KU133254.1	Porcine epidemic diarrhea virus isolate CH-SDLY-2-2014 spike protein (S) gene, complete cds	G2bchinanew.txt	42	G2b	KU133254.1|CH-SDLY-2-2014|04-Apr-2014|China	04-Apr-2014	missing_or_unparseable_date
KU133255.1	Porcine epidemic diarrhea virus isolate CH-SDLY-3-2014 spike protein (S) gene, complete cds	G2bchinanew.txt	40	G2b	KU133255.1|CH-SDLY-3-2014|04-Apr-2014|China	04-Apr-2014	missing_or_unparseable_date
KU380331.1	Porcine epidemic diarrhea virus isolate CH-SD01, complete genome	G2bchinanew.txt	41	G2b	KU380331.1|CH-SD01|01-May-2015|China	01-May-2015	missing_or_unparseable_date
KU985230.1	Porcine epidemic diarrhea virus strain GDU spike protein gene, complete cds	G2bchinanew.txt	87	G2b	KU985230.1|GDU|10-Feb-2011|China	10-Feb-2011	missing_or_unparseable_date
KX791060.1	Porcine epidemic diarrhea virus isolate CHSD2014, complete genome	G2bchinanew.txt	43	G2b	KX791060.1|CHSD2014|12-May-2014|China	12-May-2014	missing_or_unparseable_date
MH708895.1	Porcine epidemic diarrhea virus isolate FJ2011, complete genome	G2bchinanew.txt	67	G2b	MH708895.1|FJ2011|18-Jan-2011|China	18-Jan-2011	missing_or_unparseable_date
MH726384.1	Porcine epidemic diarrhea virus isolate GDS06, complete genome	G2bchinanew.txt	57	G2b	MH726384.1|GDS06|10-Feb-2011|China	10-Feb-2011	missing_or_unparseable_date
MH726385.1	Porcine epidemic diarrhea virus isolate GDS08, complete genome	G2bchinanew.txt	90	G2b	MH726385.1|GDS08|10-Feb-2011|China	10-Feb-2011	missing_or_unparseable_date
MH726386.1	Porcine epidemic diarrhea virus isolate GDS16, complete genome	G2bchinanew.txt	98	G2b	MH726386.1|GDS16|25-May-2011|China	25-May-2011	missing_or_unparseable_date
MH726387.1	Porcine epidemic diarrhea virus isolate GDS12, complete genome	G2bchinanew.txt	91	G2b	MH726387.1|GDS12|10-Feb-2011|China	10-Feb-2011	missing_or_unparseable_date
MH726388.1	Porcine epidemic diarrhea virus isolate GDS36, complete genome	G2bchinanew.txt	101	G2b	MH726388.1|GDS36|10-Feb-2011|China	10-Feb-2011	missing_or_unparseable_date
MH726389.1	Porcine epidemic diarrhea virus isolate GDS39, complete genome	G2bchinanew.txt	102	G2b	MH726389.1|GDS39|10-Feb-2011|China	10-Feb-2011	missing_or_unparseable_date
MH726390.1	Porcine epidemic diarrhea virus isolate GDS40, complete genome	G2bchinanew.txt	111	G2b	MH726390.1|GDS40|10-Feb-2011|China	10-Feb-2011	missing_or_unparseable_date
MH726391.1	Porcine epidemic diarrhea virus isolate GDS15, complete genome	G2bchinanew.txt	112	G2b	MH726391.1|GDS15|15-Jul-2012|China	15-Jul-2012	missing_or_unparseable_date
MH726392.1	Porcine epidemic diarrhea virus isolate GDS44, complete genome	G2bchinanew.txt	109	G2b	MH726392.1|GDS44|02-Jul-2013|China	02-Jul-2013	missing_or_unparseable_date
MH726393.1	Porcine epidemic diarrhea virus isolate GDS14, complete genome	G2bchinanew.txt	1	G2b	MH726393.1|GDS14|10-Mar-2011|China	10-Mar-2011	missing_or_unparseable_date
MH726394.1	Porcine epidemic diarrhea virus isolate GDS31, complete genome	G2bchinanew.txt	31	G2b	MH726394.1|GDS31|08-Dec-2015|China	08-Dec-2015	missing_or_unparseable_date
MH726395.1	Porcine epidemic diarrhea virus isolate GDS32, complete genome	G2bchinanew.txt	33	G2b	MH726395.1|GDS32|06-Feb-2013|China	06-Feb-2013	missing_or_unparseable_date
MH726396.1	Porcine epidemic diarrhea virus isolate GDS35, complete genome	G2bchinanew.txt	29	G2b	MH726396.1|GDS35|07-Dec-2013|China	07-Dec-2013	missing_or_unparseable_date
MH726397.1	Porcine epidemic diarrhea virus isolate GDS38, complete genome	G2bchinanew.txt	30	G2b	MH726397.1|GDS38|20-Oct-2012|China	20-Oct-2012	missing_or_unparseable_date
MH726398.1	Porcine epidemic diarrhea virus isolate GDS37, complete genome	G2bchinanew.txt	28	G2b	MH726398.1|GDS37|25-May-2011|China	25-May-2011	missing_or_unparseable_date
MH726399.1	Porcine epidemic diarrhea virus isolate GDS42, complete genome	G2bchinanew.txt	34	G2b	MH726399.1|GDS42|25-Sep-2011|China	25-Sep-2011	missing_or_unparseable_date
MH726400.1	Porcine epidemic diarrhea virus isolate GDS45, complete genome	G2bchinanew.txt	35	G2b	MH726400.1|GDS45|26-Apr-2011|China	26-Apr-2011	missing_or_unparseable_date
MH726401.1	Porcine epidemic diarrhea virus isolate GDS41, complete genome	G2bchinanew.txt	32	G2b	MH726401.1|GDS41|27-Nov-2011|China	27-Nov-2011	missing_or_unparseable_date
MH748550.1	Porcine epidemic diarrhea virus strain PEDV JS-A, complete genome	G2bchinanew.txt	118	G2b	MH748550.1|PEDV_JS-A|10-Nov-2017|China	10-Nov-2017	missing_or_unparseable_date
MK288006.1	Porcine epidemic diarrhea virus isolate FJzz1, complete genome	G2bchinanew.txt	85	G2b	MK288006.1|FJzz1|22-May-2011|China	22-May-2011	missing_or_unparseable_date
MN368700.1	Porcine epidemic diarrhea virus isolate GDhz17 spike protein (S) gene, complete cds	G2bchinanew.txt	38	G2b	MN368700.1|GDhz17|NA|China	N/A	missing_or_unparseable_date
MN368702.1	Porcine epidemic diarrhea virus isolate GDjm17-2 spike protein (S) gene, complete cds	G2bchinanew.txt	39	G2b	MN368702.1|GDjm17-2|NA|China	N/A	missing_or_unparseable_date
MN508818.1	Porcine epidemic diarrhea virus isolate SHpd/2012 S protein (S) gene, complete cds	G2bchinanew.txt	72	G2b	MN508818.1|SHpd/2012|17-Mar-2012|China	17-Mar-2012	missing_or_unparseable_date
MN759311.1	Porcine epidemic diarrhea virus strain GD-XL-2019, complete genome	G2bchinanew.txt	114	G2b	MN759311.1|GD-XL-2019|18-Mar-2019|China	18-Mar-2019	missing_or_unparseable_date
MZ364307.1	Porcine epidemic diarrhea virus strain CH/GX/PEDV/938/2016, complete genome	G2bchinanew.txt	50	G2b	MZ364307.1|CH/GX/PEDV/938/2016|29-Feb-2016|China	29-Feb-2016	missing_or_unparseable_date
