KX532182.1 Porcine epidemic diarrhea virus strain CH_SXJZY15_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MN412558.1 Porcine epidemic diarrhea virus strain HN-HB1/2018 S protein (S) gene, complete cds
KP870124.1 Porcine epidemic diarrhea virus isolate CH/GD-14/2013 spike protein (S) gene, complete cds
KU975419.1 Porcine epidemic diarrhea virus isolate CH-SCXC-2-2015 spike protein (S) gene, complete cds
KF738262.1 Porcine epidemic diarrhea virus strain SD130611 spike protein gene, complete cds
MZ161060.1 Porcine epidemic diarrhea virus strain CH/GXLP/07/2020 spike protein (S) gene, complete cds
KM406178.1 Porcine epidemic diarrhea virus strain LS1401 S protein (S) gene, complete cds
KY211042.1 Porcine epidemic diarrhea virus isolate NY1S spike protein gene, complete cds
KP399623.1 Porcine epidemic diarrhea virus strain CH-HSYEC-09-2013 S protein (S) gene, complete cds
KX064280.1 Porcine epidemic diarrhea virus isolate SD2014, complete genome
KT388415.1 Porcine epidemic diarrhea virus isolate CH-TPC-2014 spike glycoprotein gene, complete cds
MH991843.1 Porcine epidemic diarrhea virus strain O8-HB2017 S protein (S) gene, complete cds
KP698752.2 Porcine epidemic diarrhea virus isolate GD2 spike gene, complete cds
MF038007.1 Porcine epidemic diarrhea virus isolate PED-JS-2015-12-4 spike glycoprotein (S) gene, complete cds
MW143087.1 Porcine epidemic diarrhea virus isolate JSS08, complete genome
OR195029.1 Porcine epidemic diarrhea virus strain HB2022-4 spike protein (S) gene, complete cds
PX619215.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SHB/2025-02 genomic sequence
KY211045.1 Porcine epidemic diarrhea virus isolate NY4S nonfunctional spike protein gene, partial sequence
PV536110.1 Porcine epidemic diarrhea virus isolate PEDV-XJCZ16-2024, partial genome
MN721360.1 Porcine epidemic diarrhea virus isolate CH-SX-YCDZ spike protein gene, complete cds
MG706118.1 Porcine epidemic diarrhea virus isolate PED-JS-2017-07-2 spike protein gene, complete cds
MN412573.1 Porcine epidemic diarrhea virus strain SX-WS1/2018 S protein (S) gene, complete cds
JX501319.1 Porcine epidemic diarrhea virus isolate CH/HBXX2/11 spike glycoprotein gene, complete cds
MG020549.1 Porcine epidemic diarrhea virus isolate CH-JXXY-2-2016 spike protein (S) gene, complete cds
MN412560.1 Porcine epidemic diarrhea virus strain HN-XC1/2018 S protein (S) gene, complete cds
MG837012.1 Porcine epidemic diarrhea virus isolate CHN/SH-2016-4/2016, complete genome
KT313037.1 Porcine epidemic diarrhea virus isolate PEDV3-S-1 spike protein (S) gene, complete cds
MH991864.1 Porcine epidemic diarrhea virus strain Y9-SX2018 S protein (S) gene, complete cds
KF840539.1 Porcine epidemic diarrhea virus isolate CH/ZJJS-Z/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KJ646586.1 Porcine epidemic diarrhea virus strain FJ-ND 2013 spike protein (S) gene, complete cds
MG020550.1 Porcine epidemic diarrhea virus isolate CH-JXXY-3-2016 spike protein (S) gene, complete cds
JN381492.1 Porcine epidemic diarrhea virus strain CH/FJND-3/2011 spike protein (S) gene, complete cds
OQ122108.1 Porcine epidemic diarrhea virus isolate HNXY-2/2022 spike protein (S) gene, complete cds
KF840546.1 Porcine epidemic diarrhea virus isolate CH/ZJJS-2Z/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein genes, complete cds
MT646162.1 Porcine epidemic diarrhea virus isolate YJH/2015, complete genome
OR365273.1 Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P60 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
KF453517.1 Porcine epidemic diarrhea virus isolate ZJ111113 S protein gene, partial cds
KY496322.1 Porcine epidemic diarrhea virus strain CH_yuanyang_2015 S protein (S) gene, complete cds
PV523950.1 Porcine epidemic diarrhea virus isolate HLJ01-05-CN-2024 spike protein (S) gene, complete cds
ON168795.1 Porcine epidemic diarrhea virus strain CH-SD-LS1702-2017 spike protein gene, complete cds
MK532988.1 Porcine epidemic diarrhea virus strain B8-HB2017 spike protein (S) gene, complete cds
KC140102.1 Porcine epidemic diarrhea virus strain CH/FJZZ-9/2012, complete genome
KX532183.1 Porcine epidemic diarrhea virus strain CH_SXTLF10_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MH726369.1 Porcine epidemic diarrhea virus isolate GDS30, complete genome
MH991865.1 Porcine epidemic diarrhea virus strain Z11-HA2018 S protein (S) gene, complete cds
MH726381.1 Porcine epidemic diarrhea virus isolate GDS43, complete genome
KF177258.1 Porcine epidemic diarrhea virus isolate YJ7C spike protein (S) gene, complete cds
KY075789.1 Porcine epidemic diarrhea virus strain LNdL1/2015 S protein (S) gene, complete cds
MN114121.1 Porcine epidemic diarrhea virus isolate CT P10, complete genome
KT323980.1 Porcine epidemic diarrhea virus strain LNCT2, complete genome
MN721362.1 Porcine epidemic diarrhea virus isolate CH-SX-YL6567 spike protein gene, complete cds
KF840552.1 Porcine epidemic diarrhea virus isolate CH/ZJQZ-2/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF601196.1 Porcine epidemic diarrhea virus isolate JXGZ/2013 spike protein (S) gene, complete cds
OP382083.1 Porcine epidemic diarrhea virus isolate PEDV-GX4/2021, complete genome
OP019344.1 Porcine epidemic diarrhea virus isolate PEDV/CH/JC1/2021 spike protein (S) gene, partial cds
KJ646585.1 Porcine epidemic diarrhea virus strain FJ-ND 2012 spike protein (S) gene, complete cds
KM609210.1 Porcine epidemic diarrhea virus strain PEDV-LY, complete genome
KF738260.1 Porcine epidemic diarrhea virus strain JX130506 spike protein gene, complete cds
MK656508.1 Porcine epidemic diarrhea virus strain QD1803-2 S protein gene, partial cds
KJ646582.1 Porcine epidemic diarrhea virus strain FJ-FQ2 2012 spike protein (S) gene, complete cds
PQ284570.1 Porcine epidemic diarrhea virus isolate CH-HNXC-2022 spike protein (S) gene, complete cds
KC787538.1 Porcine epidemic diarrhea virus isolate CH-GGC-11-2012 spike protein gene, complete cds
KY211047.1 Porcine epidemic diarrhea virus isolate NY6S spike protein gene, complete cds
MN612077.1 Porcine epidemic diarrhea virus strain CH-HuB-YC01 spike protein gene, complete cds
MT843280.1 Porcine epidemic diarrhea virus, complete genome
KJ777677.1 Porcine epidemic diarrhea virus strain LZW isolate FGE_20140427, complete genome
OM776958.1 Porcine epidemic diarrhea virus isolate CH/HLJ-6/2021, complete genome
MH910099.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate JS-2013, complete genome
MG706119.1 Porcine epidemic diarrhea virus isolate PED-JS-2017-07-1 spike protein gene, complete cds
MG132631.1 Porcine epidemic diarrhea virus isolate HB1601 spike protein mRNA, complete cds
KJ777678.1 Porcine epidemic diarrhea virus strain LZW isolate CPGEN_20140427, complete genome
MK644604.1 Porcine epidemic diarrhea virus isolate N7-GD2017, complete genome
MK539948.2 Porcine epidemic diarrhea virus isolate CT spike glycoprotein (S) gene, complete cds
KP698758.1 Porcine epidemic diarrhea virus isolate GD8 spike gene, complete cds
PV523943.1 Porcine epidemic diarrhea virus isolate AH02-10-CN_2021 spike protein (S) gene, complete cds
KF840549.1 Porcine epidemic diarrhea virus isolate CH/SDZD-1/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KU556282.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-101 S protein-like gene, complete sequence
KU237221.1 Porcine epidemic diarrhea virus strain LY S protein (S) gene, complete cds
KC242911.1 Porcine epidemic diarrhea virus isolate HN6-201211 spike protein gene, complete cds
KT989355.1 Porcine epidemic diarrhea virus isolate CH-HNKF-14.8 spike protein gene, complete cds
KF577730.1 Porcine epidemic diarrhea virus isolate YNKM/2012 spike protein (S) gene, complete cds
MF038011.1 Porcine epidemic diarrhea virus isolate PED-JS-2016-05-4 spike glycoprotein (S) gene, complete cds
KY211054.1 Porcine epidemic diarrhea virus isolate XC1S nonfunctional spike protein gene, partial sequence
OQ979201.1 Porcine epidemic diarrhea virus strain HNZK5, complete genome
KU237215.1 Porcine epidemic diarrhea virus strain DF2 S protein (S) gene, complete cds
KR080551.1 Porcine epidemic diarrhea virus isolate HN1303 spike protein (S) gene, complete cds
MT683617.1 Porcine epidemic diarrhea virus strain MSCH, complete genome
OR085285.1 Porcine epidemic diarrhea virus isolate PEDV-SXGL2-2022, complete genome
KC242906.1 Porcine epidemic diarrhea virus isolate FJZZ9-20128 spike protein gene, complete cds
KM242131.1 Porcine epidemic diarrhea virus strain CH/GDZQ/2014, complete genome
MK532983.1 Porcine epidemic diarrhea virus strain B1-HB2017 spike protein (S) gene, complete cds
KM225245.1 Porcine epidemic diarrhea virus strain YN4-1 spike protein (S) gene, complete cds
MN612074.1 Porcine epidemic diarrhea virus strain CH-HuN-SY01 spike protein gene, complete cds
KU133232.1 Porcine epidemic diarrhea virus isolate CH-SDBZ-1-2015 spike protein (S) gene, complete cds
MG546687.1 Porcine epidemic diarrhea virus strain CH/BJ9/2015, complete genome
MH056657.1 Porcine epidemic diarrhea virus strain JSX2014/ATT, complete genome
OR722805.1 Porcine epidemic diarrhea virus isolate CHN-HCHL-2021, complete genome
JQ257007.1 Porcine epidemic diarrhea virus strain CH/ZY/11 spike protein gene, complete cds
KR296672.1 Porcine epidemic diarrhea virus strain CH-SFC-12-2014 S protein (S) gene, complete cds
KF546804.1 Porcine epidemic diarrhea virus isolate GDZQ/2012 spike protein (S) gene, complete cds
OP019355.1 Porcine epidemic diarrhea virus isolate PEDV/CH/YF2/2021 spike protein (S) gene, partial cds
MH107321.1 Porcine epidemic diarrhea virus isolate GDS10, complete genome
MG837011.1 Porcine epidemic diarrhea virus isolate CHN/SH-2012-5/2012, complete genome
MG020548.1 Porcine epidemic diarrhea virus isolate CH-JXXY-1-2016 spike protein (S) gene, complete cds
PV523949.1 Porcine epidemic diarrhea virus isolate HeB01-05-CN_2022 spike protein (S) gene, complete cds
MZ380292.1 Porcine epidemic diarrhea virus isolate CHHN2016, complete genome
KF546803.1 Porcine epidemic diarrhea virus isolate GDJM/2012 spike protein (S) gene, complete cds
MN721373.1 Porcine epidemic diarrhea virus isolate CH-GX-GG27 spike protein gene, complete cds
KY211062.1 Porcine epidemic diarrhea virus isolate XY6S spike protein gene, complete cds
KU133235.1 Porcine epidemic diarrhea virus isolate CH-SDCQ-2015 spike protein (S) gene, complete cds
KU975410.1 Porcine epidemic diarrhea virus isolate CH-SCMY-1-2014 spike protein (S) gene, complete cds
KC242912.1 Porcine epidemic diarrhea virus isolate HN8-201211 spike protein gene, complete cds
MT090138.1 Porcine epidemic diarrhea virus strain HN/KF/2019 spike protein (S) gene, complete cds
JX258672.1 Porcine epidemic diarrhea virus strain FQ/FJ/2012 spike protein gene, complete cds
MK111632.1 Porcine epidemic diarrhea virus isolate CH/HNHB/2016 spike protein mRNA, complete cds
PQ284568.1 Porcine epidemic diarrhea virus isolate CH-HNLY-2022 spike protein (S) gene, complete cds
JX435299.1 Porcine epidemic diarrhea virus isolate BJ-2012-1 spike protein (S) mRNA, complete cds
MW762534.1 Porcine epidemic diarrhea virus isolate GXNN, complete genome
KY496317.1 Porcine epidemic diarrhea virus strain CH_nanyang_2015 S protein (S) gene, complete cds
OR365272.1 Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P30 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
JQ638920.1 Porcine epidemic diarrhea virus strain CH/JLCC/2011 spike glycoprotein S2 (S) gene, complete cds
KY211074.1 Porcine epidemic diarrhea virus isolate ZMD11S spike protein gene, complete cds
KP399610.1 Porcine epidemic diarrhea virus strain CH-ZWC-06-2013 S protein (S) gene, complete cds
KT388411.1 Porcine epidemic diarrhea virus isolate CH-XWC-2014 spike glycoprotein gene, complete cds
MN368697.1 Porcine epidemic diarrhea virus isolate FJqz17-1 spike protein (S) gene, complete cds
JQ282909.1 Porcine epidemic diarrhea virus strain CH/FJND-3/2011, complete genome
KF177256.1 Porcine epidemic diarrhea virus isolate JY7C spike protein (S) gene, complete cds
KY211067.1 Porcine epidemic diarrhea virus isolate ZMD3S spike protein gene, complete cds
MW478772.1 Porcine epidemic diarrhea virus isolate GDsg13 spike protein (S) gene, complete cds
JN543367.1 Porcine epidemic diarrhea virus strain CH/FJND-1/2011 spike protein (S) gene, complete cds
KC210147.1 Porcine epidemic diarrhea virus strain JS-HZ2012, complete genome
KP399604.1 Porcine epidemic diarrhea virus strain CH-XSC-04-2014 S protein (S) gene, complete cds
KU133249.1 Porcine epidemic diarrhea virus isolate CH-SDLY-1-2012 spike protein (S) gene, complete cds
MF038005.1 Porcine epidemic diarrhea virus isolate PED-JS-2016-12-2 spike glycoprotein (S) gene, complete cds
JQ638922.1 Porcine epidemic diarrhea virus strain CH/HBQHD/2011 spike glycoprotein S2 (S) gene, complete cds
KF601198.1 Porcine epidemic diarrhea virus isolate JXJA/2013 spike protein (S) gene, complete cds
JX018183.1 Porcine epidemic diarrhea virus isolate CH/HBSN/2012 spike protein gene, complete cds
KC242901.1 Porcine epidemic diarrhea virus isolate AH2-20123 spike protein gene, complete cds
JQ979289.1 Porcine epidemic diarrhea virus strain CH17-GZ spike protein (S) gene, complete cds
MN721368.1 Porcine epidemic diarrhea virus isolate CH-SX-YL27 spike protein gene, complete cds
KY496321.1 Porcine epidemic diarrhea virus strain CH_weishi_2016 S protein (S) gene, complete cds
MH726362.1 Porcine epidemic diarrhea virus isolate GDS05, complete genome
KX981440.1 Porcine epidemic diarrhea virus isolate CH/HNZZ47/2016, complete genome
OR085244.1 Porcine epidemic diarrhea virus isolate PEDV-HuN1-2023, complete genome
KC787542.1 Porcine epidemic diarrhea virus isolate CH-SBC-03-2013 spike protein gene, complete cds
MN721367.1 Porcine epidemic diarrhea virus isolate CH-SC-DY01 spike protein gene, complete cds
KP870135.1 Porcine epidemic diarrhea virus isolate CH/GD-25/2014 spike protein (S) gene, complete cds
KP399608.1 Porcine epidemic diarrhea virus strain CH-LNC-10-2014 S protein (S) gene, complete cds
PP395582.1 Porcine epidemic diarrhea virus strain SC2021CD spike protein (S) gene, complete cds
MH726363.1 Porcine epidemic diarrhea virus isolate GDS20, complete genome
MN721361.1 Porcine epidemic diarrhea virus isolate CH-Tibet-SN22 spike protein gene, complete cds
JX501322.1 Porcine epidemic diarrhea virus isolate CH/XC/12 spike glycoprotein gene, complete cds
MN368676.1 Porcine epidemic diarrhea virus isolate GDzq15-2 spike protein (S) gene, complete cds
MN368667.1 Porcine epidemic diarrhea virus isolate GDgz15-2 spike protein (S) gene, complete cds
PV167810.1 Porcine epidemic diarrhea virus isolate FJPT-09 spike protein (S) gene, complete cds
KR296675.1 Porcine epidemic diarrhea virus strain CH-TPC-12-2014 S protein (S) gene, complete cds
MF152601.1 Porcine epidemic diarrhea virus strain CH/HNHB/2016 spike protein gene, complete cds
MG706121.1 Porcine epidemic diarrhea virus isolate PED-JS-2017-01 spike protein gene, complete cds
JX435301.1 Porcine epidemic diarrhea virus isolate HB-2011-4 spike protein (S) mRNA, complete cds
MW143086.1 Porcine epidemic diarrhea virus isolate JSS07, complete genome
OR365279.1 Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P120 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
MW143082.1 Porcine epidemic diarrhea virus isolate JSS03, complete genome
KU133263.1 Porcine epidemic diarrhea virus isolate CH-SDTA-2012 spike protein (S) gene, complete cds
KF546802.1 Porcine epidemic diarrhea virus isolate GDDG/2011 spike protein (S) gene, complete cds
KP399631.1 Porcine epidemic diarrhea virus strain CH-ZWC1-12-2011 S protein (S) gene, complete cds
KY211063.1 Porcine epidemic diarrhea virus isolate XY7S spike protein gene, complete cds
KU133237.1 Porcine epidemic diarrhea virus isolate CH-SDDP-2-2014 spike protein (S) gene, complete cds
KY075786.1 Porcine epidemic diarrhea virus strain LNfx1/2015 S protein (S) gene, complete cds
MH726379.1 Porcine epidemic diarrhea virus isolate GDS33, complete genome
JQ257006.1 Porcine epidemic diarrhea virus strain CH/YY/11 spike protein gene, complete cds
KU133241.1 Porcine epidemic diarrhea virus isolate CH-SDHZ-1-2013 spike protein (S) gene, complete cds
PV536109.1 Porcine epidemic diarrhea virus isolate PEDV-SXDD4-2023, partial genome
MN368694.1 Porcine epidemic diarrhea virus isolate SCmy17 spike protein (S) gene, complete cds
KU133260.1 Porcine epidemic diarrhea virus isolate CH-SDQF-5-2014 spike protein (S) gene, complete cds
MK124712.1 Porcine epidemic diarrhea virus strain CH/HNXX/2016 spike protein gene, complete cds
PV167809.1 Porcine epidemic diarrhea virus isolate FJPT-08 spike protein (S) gene, complete cds
KT239517.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHAQ-1 spike protein-like gene, complete sequence
OQ858592.1 Porcine epidemic diarrhea virus strain SD-LC, complete genome
KC787541.1 Porcine epidemic diarrhea virus isolate CH-LNC-01-2012 spike protein gene, partial cds
KY496316.1 Porcine epidemic diarrhea virus strain CH_lankao_2016 S protein (S) gene, complete cds
KP399629.1 Porcine epidemic diarrhea virus strain CH-BPKFC-07-2013 S protein (S) gene, complete cds
KR296679.1 Porcine epidemic diarrhea virus strain CH-ZSC-01-2015 S protein (S) gene, complete cds
KM609205.1 Porcine epidemic diarrhea virus strain PEDV-8C, complete genome
KF840548.1 Porcine epidemic diarrhea virus isolate CH/JXZS-1223L spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MW143089.1 Porcine epidemic diarrhea virus isolate JSS10, complete genome
PV167808.1 Porcine epidemic diarrhea virus isolate FJPT-07 spike protein (S) gene, complete cds
MH991855.1 Porcine epidemic diarrhea virus strain V7-HB2018 S protein (S) gene, complete cds
KY211068.1 Porcine epidemic diarrhea virus isolate ZMD4S nonfunctional spike protein gene, partial sequence
MH726370.1 Porcine epidemic diarrhea virus isolate GDS07, complete genome
JX501320.1 Porcine epidemic diarrhea virus isolate CH/HBXX3/11 spike glycoprotein gene, complete cds
PP923932.1 UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-QJ-1507/China/2015/Yunnan spike protein-like gene, partial sequence
MG020540.1 Porcine epidemic diarrhea virus isolate CH-AHSZ-1-2016 spike protein (S) gene, complete cds
OR085282.1 Porcine epidemic diarrhea virus isolate PEDV-AHWH12-2022, complete genome
MH726368.1 Porcine epidemic diarrhea virus isolate GDS22, complete genome
OQ349213.1 Porcine epidemic diarrhea virus isolate FJ1919 spike protein (S) gene, complete cds
KY007139.1 Porcine epidemic diarrhea virus isolate PEDV-Hjms, complete genome
MF038014.1 Porcine epidemic diarrhea virus isolate PED-JS-2016-07-2 spike glycoprotein (S) gene, complete cds
JQ771751.1 Porcine epidemic diarrhea virus strain SH S protein mRNA, complete cds
MG132635.1 Porcine epidemic diarrhea virus isolate HB16019 spike protein mRNA, complete cds
OQ349207.1 Porcine epidemic diarrhea virus isolate FJ1410 spike protein (S) gene, complete cds
KM609209.1 Porcine epidemic diarrhea virus strain PEDV-CHZ, complete genome
KP870114.1 Porcine epidemic diarrhea virus isolate CH/GD-02/2012 spike protein (S) gene, complete cds
MG706120.1 Porcine epidemic diarrhea virus isolate PED-JS-2017-01-2 spike protein gene, complete cds
KP698755.2 Porcine epidemic diarrhea virus isolate GD5 spike gene, complete cds
KU133233.1 Porcine epidemic diarrhea virus isolate CH-SDBZ-2-2015 spike protein (S) gene, complete cds
PP395585.1 Porcine epidemic diarrhea virus strain SC2022SN spike protein (S) gene, complete cds
KY211070.1 Porcine epidemic diarrhea virus isolate ZMD7S nonfunctional spike protein gene, partial sequence
MH053416.1 Porcine epidemic diarrhea virus isolate CH/SCQX1/2017 spike protein (S) gene, complete cds
KR296671.1 Porcine epidemic diarrhea virus strain CH-SBC-03-2015 S protein (S) gene, complete cds
MG706117.1 Porcine epidemic diarrhea virus isolate PED-JS-2017-06 spike protein gene, complete cds
KU556283.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-107 S protein-like gene, complete sequence
KU975423.1 Porcine epidemic diarrhea virus isolate CH-SCYA-2-2014 spike protein (S) gene, complete cds
OL907256.1 Porcine epidemic diarrhea virus strain CH/SXJC-2019 spike protein (S) gene, complete cds
MK532987.1 Porcine epidemic diarrhea virus strain B7-HB2017 spike protein (S) gene, complete cds
OR992086.1 Porcine epidemic diarrhea virus isolate CH/FST-Y/2017 spike protein (S) gene, complete cds
PV523954.1 Porcine epidemic diarrhea virus isolate SD04-12-CN_2021 spike protein (S) gene, complete cds
MN721369.1 Porcine epidemic diarrhea virus isolate CH-JL-BS7 spike protein gene, complete cds
MT090145.1 Porcine epidemic diarrhea virus strain CH/HNYY/2018, complete genome
KP698768.2 Porcine epidemic diarrhea virus isolate GD18 spike gene, complete cds
KY070587.1 Porcine epidemic diarrhea virus isolate JSCZ1601, complete genome
KF177257.1 Porcine epidemic diarrhea virus isolate YJ3F spike protein (S) gene, complete cds
MT659926.1 Porcine epidemic diarrhea virus, complete genome
KY211043.1 Porcine epidemic diarrhea virus isolate NY2S spike protein gene, complete cds
KF453515.1 Porcine epidemic diarrhea virus isolate SH121208 S protein gene, partial cds
KP698753.1 Porcine epidemic diarrhea virus isolate GD3 spike gene, complete cds
MG198671.1 Porcine epidemic diarrhea virus isolate ZJWL1603 spike protein gene, complete cds
KJ646587.1 Porcine epidemic diarrhea virus strain FJ-PT 2013 spike protein (S) gene, complete cds
KT239520.1 UNVERIFIED: Porcine epidemic diarrhea virus strain JXJJ-1 spike protein-like gene, complete sequence
KP399601.1 Porcine epidemic diarrhea virus strain CH-ZWC-09-2014 S protein (S) gene, complete cds
KR296665.1 Porcine epidemic diarrhea virus strain CH-GLC-12-2014 S protein (S) gene, complete cds
KR514320.1 Porcine epidemic diarrhea virus isolate CH/NMG/HHHT spike protein gene, complete cds
KT313038.1 Porcine epidemic diarrhea virus isolate PEDV4-S-3 spike protein (S) gene, complete cds
OM948910.1 Porcine epidemic diarrhea virus isolate CH_SCDZ02_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MN368671.1 Porcine epidemic diarrhea virus isolate GDmm15 spike protein (S) gene, complete cds
MF038006.1 Porcine epidemic diarrhea virus isolate PED-JS-2016-12-1 spike glycoprotein (S) gene, complete cds
KR732652.1 Porcine epidemic diarrhea virus isolate SC-ZY-2 S protein gene, complete cds
KY775044.1 Porcine epidemic diarrhea virus isolate HBXY5 spike protein (S) gene, complete cds
MG132632.1 Porcine epidemic diarrhea virus isolate HB1603 spike protein mRNA, complete cds
MG198649.1 Porcine epidemic diarrhea virus isolate JSLYG1603-2 spike protein gene, complete cds
KU975412.1 Porcine epidemic diarrhea virus isolate CH-SCMY-3-2014 spike protein (S) gene, complete cds
KC242908.1 Porcine epidemic diarrhea virus isolate HN4-20129 spike protein gene, complete cds
KF738258.1 Porcine epidemic diarrhea virus strain GD120330 spike protein gene, complete cds
KT239514.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHBB-2 spike protein-like gene, complete sequence
KJ196348.1 Porcine epidemic diarrhea virus strain SHQP/YM/2013, complete genome
PV036771.1 Porcine epidemic diarrhea virus isolate HLJ2, complete genome
KP698757.1 Porcine epidemic diarrhea virus isolate GD7 spike gene, complete cds
KT239506.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHFY-2 spike protein-like gene, complete sequence
KR732651.1 Porcine epidemic diarrhea virus isolate SC-ZY-1 S protein gene, complete cds
MG198639.1 Porcine epidemic diarrhea virus isolate JSHA1601 spike protein gene, complete cds
KU237214.1 Porcine epidemic diarrhea virus strain DF1 S protein (S) gene, complete cds
MH726366.1 Porcine epidemic diarrhea virus isolate GDS24, complete genome
KJ646579.1 Porcine epidemic diarrhea virus strain FJ-CL 2013 spike protein (S) gene, complete cds
PV164722.1 Porcine epidemic diarrhea virus isolate PEDV ZJ22QZ0501 spike protein (S) gene, complete cds
KT388417.1 Porcine epidemic diarrhea virus isolate CH-SBC-2013 spike glycoprotein gene, complete cds
KP399626.1 Porcine epidemic diarrhea virus strain CH-HBC-02-2013 S protein (S) gene, complete cds
KY211049.1 Porcine epidemic diarrhea virus isolate NY8S nonfunctional spike protein gene, partial sequence
MN893427.1 Porcine epidemic diarrhea virus isolate CH-HNZZ-2017 spike glycoprotein gene, complete cds
KU975415.1 Porcine epidemic diarrhea virus isolate CH-SCNC-2-2015 spike protein (S) gene, complete cds
MF038004.1 Porcine epidemic diarrhea virus isolate PED-JS-2015-12-3 spike glycoprotein (S) gene, complete cds
KP399602.1 Porcine epidemic diarrhea virus strain CH-YZC-10-2014 S protein (S) gene, complete cds
JX070671.1 Porcine epidemic diarrhea virus isolate CH/FJXM-1/2012 spike protein gene, complete cds
PX475711.1 Porcine epidemic diarrhea virus isolate PEDV-HeiHo-2024, complete genome
KT239510.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHHF-2 spike protein-like gene, complete sequence
KC242910.1 Porcine epidemic diarrhea virus isolate GD8-20129 spike protein gene, complete cds
JX501317.1 Porcine epidemic diarrhea virus isolate CH/CY/12 spike glycoprotein gene, complete cds
MF038013.1 Porcine epidemic diarrhea virus isolate PED-JS-2016-07-1 spike glycoprotein (S) gene, complete cds
MN412563.1 Porcine epidemic diarrhea virus strain HN-XX2/2016 S protein (S) gene, complete cds
JN825708.1 Porcine epidemic diarrhea virus isolate HB-2011-2 spike protein (S) mRNA, complete cds
MH726376.1 Porcine epidemic diarrhea virus isolate GDS18, complete genome
KR296663.1 Porcine epidemic diarrhea virus strain CH-GGC-01-2015 S protein (S) gene, complete cds
KU975404.1 Porcine epidemic diarrhea virus isolate CH-SCAY-2-2015 spike protein (S) gene, complete cds
KM287429.1 Porcine epidemic diarrhea virus strain XJ-DB2 spike protein gene, complete cds
JX435302.1 Porcine epidemic diarrhea virus isolate HB-2012-1 spike protein (S) mRNA, complete cds
MK532984.1 Porcine epidemic diarrhea virus strain B2-HB2017 spike protein (S) gene, complete cds
MN721371.1 Porcine epidemic diarrhea virus isolate CH-LN-TL01 spike protein gene, complete cds
OQ349211.1 Porcine epidemic diarrhea virus isolate FJ1617 spike protein (S) gene, complete cds
JQ257005.1 Porcine epidemic diarrhea virus strain CH/KF/11 spike protein gene, complete cds
MN594506.1 UNVERIFIED: Porcine epidemic diarrhea virus strain SX-WH, complete genome
PV449162.1 Porcine epidemic diarrhea virus isolate CH/HLJ-22, complete genome
KP870137.1 Porcine epidemic diarrhea virus isolate CH/GD-27/2014 spike protein (S) gene, complete cds
MN893417.1 Porcine epidemic diarrhea virus isolate CH-HNSMX-2016 spike glycoprotein gene, complete cds
KF840554.1 Porcine epidemic diarrhea virus isolate CH/ZJHZ-2C/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MT547179.1 Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d, complete genome
KC242904.1 Porcine epidemic diarrhea virus isolate YN2-20127 spike protein gene, complete cds
KJ646590.1 Porcine epidemic diarrhea virus strain FJ-YX 2013 spike protein (S) gene, complete cds
KT989353.1 Porcine epidemic diarrhea virus isolate CH-HNJZ-15.4 spike protein gene, complete cds
KF840544.1 Porcine epidemic diarrhea virus isolate CH/ZJHZHY-6/2013 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
